input_index,fraction_lower_bound_active,fraction_upper_bound_active,average_exact_violation_below_lower,average_exact_violation_above_upper
0,0.0,0.0,61.377625408710955,60.0607327209548
1,0.0,0.0,32.60766451544413,28.29641011363791
