event_kind,event_anchor,k,y_sp,dhat_k,us_exact,us_bounded,solve_mode,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_residual_norm,dhat_delta_inf
setpoint_change,400,395,"[2.751989057031519, 0.5060686884724044]","[2.662454946251005, 0.6214865805101593]","[29.133948648014588, 12.04715800827588]","[4.731671491804737, 2.9212249410414177]",exact_unbounded_fallback_bounded_ls,2.168404344971009e-19,2.7755575615628914e-17,0.13566977656388643,9.188903468493326e-05
setpoint_change,400,396,"[2.751989057031519, 0.5060686884724044]","[2.6624199781506976, 0.6215783976348281]","[29.147706496222824, 12.050926095120053]","[4.734994003252607, 2.9210247096811197]",exact_unbounded_fallback_bounded_ls,8.673617379884035e-19,0.0,0.13572683957498718,9.181712466888037e-05
setpoint_change,400,397,"[2.751989057031519, 0.5060686884724044]","[2.6623847603607462, 0.6216707480949155]","[29.161556357140295, 12.05472353944309]","[4.738318765630712, 2.9208235544659136]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,2.7755575615628914e-17,0.13578444938868953,9.235046008737591e-05
setpoint_change,400,398,"[2.751989057031519, 0.5060686884724044]","[2.6623492766462333, 0.6217633405017213]","[29.175487614312534, 12.058558786797295]","[4.741648434400461, 2.9206229566663358]",exact_unbounded_fallback_bounded_ls,5.204170427930421e-18,5.551115123125783e-17,0.1358423589913596,9.259240680581371e-05
setpoint_change,400,399,"[2.751989057031519, 0.5060686884724044]","[2.6623135264803843, 0.6218562673823642]","[29.189505114885254, 12.062430066765907]","[4.744974594553423, 2.920421367873]",exact_unbounded_fallback_bounded_ls,2.7755575615628914e-17,2.7755575615628914e-17,0.13590071737303006,9.292688064288512e-05
setpoint_change,400,400,"[-2.210727904737378, -3.3325198391259487]","[2.6622775029066634, 0.6219491457913253]","[-1064.552583345231, -860.889339718846]","[4.786881101006483, 2.8268112965563206]",exact_unbounded_fallback_bounded_ls,1.457167719820518e-16,4.440892098500626e-15,6.288032137815519,9.287840896110566e-05
setpoint_change,400,401,"[-2.210727904737378, -3.3325198391259487]","[2.662241226901505, 0.6220427983903626]","[-1064.5383923026677, -860.8853986446816]","[4.8578503313193195, 2.2631297570103914]",exact_unbounded_fallback_bounded_ls,6.938893903907228e-18,3.9968028886505635e-15,6.2790647327171545,9.365259903726386e-05
setpoint_change,400,402,"[-2.210727904737378, -3.3325198391259487]","[2.657848861184511, 0.42895908828777485]","[-1073.2267534879459, -856.3100906495624]","[4.926484670933001, 1.7035965707379386]",exact_unbounded_fallback_bounded_ls,1.3183898417423734e-16,2.220446049250313e-15,6.147529670738529,0.19308371010258774
setpoint_change,400,403,"[-2.210727904737378, -3.3325198391259487]","[2.6478348312204494, 0.07349954993040225]","[-1088.7208850166112, -847.5779064326288]","[4.990900464138837, 1.15206804912239]",exact_unbounded_fallback_bounded_ls,2.7755575615628914e-16,1.3322676295501878e-15,5.921835212041145,0.3554595383573726
setpoint_change,400,404,"[-2.210727904737378, -3.3325198391259487]","[2.628502130964576, -0.3874578780991596]","[-1107.16491126166, -835.2361023127719]","[5.049487831142404, 0.6116020979576298]",exact_unbounded_fallback_bounded_ls,0.0,1.3322676295501878e-15,5.648278440197477,0.46095742802956186
setpoint_change,400,405,"[-2.210727904737378, -3.3325198391259487]","[2.5951964169571027, -0.911346403283277]","[-1125.1828101159101, -819.391482580525]","[5.101375760422263, 0.08524296521291769]",exact_unbounded_fallback_bounded_ls,2.0816681711721685e-16,0.0,5.361991699389575,0.5238885251841174
