run,samples,accepted_rate,solve_success_rate,actor_bc_last,critic_last,reward_mean,action_std_1,action_std_2,selector
LMPC bounded-mixed,3100000,0.8936741133743809,0.8938911896993392,5.045251341964749e-05,119.82131801852319,-589.708984375,0.576024055480957,0.580489993095398,bounded_mixed_u0p1_x0p1
LMPC governed-ref old,2100000,0.9917533348886545,0.9955909480311808,7.86772965100993e-05,127.75615854096912,-605.5950317382812,0.5629920363426208,0.5628678202629089,governed_reference
OF-MPC,2100000,,,3.876603235091482e-07,146.81059804571242,-604.0634155273438,0.5629608035087585,0.5627401471138,offset_free_mpc
