k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm,analysis_target_variant,analysis_x_label,analysis_u_label,analysis_y_label,analysis_d_label,analysis_u_applied_minus_u_s_norm,analysis_u_applied_minus_u_s_phys_norm,analysis_y_current_minus_y_s_norm,analysis_y_current_minus_y_s_phys_norm,analysis_y_s_minus_y_sp_norm,analysis_xhat_minus_x_s_norm,analysis_dhat_minus_d_s_norm,analysis_u_s_dev_norm,analysis_x_s_norm,analysis_reduced_rhs_residual_norm
0,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.7563199375093,32950.25279750037,2.798133179009428,0.726988529978955,8.881784197001252e-16,274.89697129598034,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7979845543228477,exact_unbounded_fallback_bounded_ls,689.1254019103047,188.37456752322706,2.7979845543228477,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,823.7563199375093,32950.25279750037,2.798133179009428,0.726988529978955,8.881784197001252e-16,274.89697129598034,0.0,823.8889013223562,274.89697129598034,1.2212453270876722e-15
1,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.6238398946989,32944.953595787956,2.7934778640982114,0.7212388706444605,8.881784197001252e-16,274.89145351014764,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7963425863415257,exact_unbounded_fallback_bounded_ls,689.1160393999915,188.27959799788985,2.7963425863415257,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,823.6238398946989,32944.953595787956,2.7934778640982114,0.7212388706444605,8.881784197001252e-16,274.89145351014764,0.0,823.8889013223562,274.89697129598034,1.2212453270876722e-15
2,7.979727989493313e-17,1.7208456881689926e-15,1.9014238627127563e-15,True,False,stacked_exact,False,825.6173406226029,33024.69362490412,2.7804965447355117,0.7092728120647576,1.6653345369377348e-15,271.8223165040135,0.0,2.7822021591974786,826.0119963423946,275.0177017644188,1.1102230246251565e-16,True,False,683.0012341011098,7.979727989493313e-17,1.7208456881689926e-15,True,2.7790451693724507,exact_unbounded_fallback_bounded_ls,692.9434289157033,187.3514519025129,2.7790451693724507,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,825.6173406226029,33024.69362490412,2.7804965447355117,0.7092728120647576,1.6653345369377348e-15,271.8223165040135,0.0,826.0119963423946,275.0177017644188,1.1102230246251565e-16
3,1.776929341416762e-15,1.1102230246251565e-15,2.2089714207032938e-15,True,False,stacked_exact,False,829.2089540807767,33168.35816323107,2.7569227670735463,0.6911727831019948,1.1102230246251565e-15,266.3395886102817,0.0,2.758798724697996,829.7281615936134,275.18322432800886,4.47545209131181e-16,True,False,689.8524924283549,1.7763568394002505e-15,1.1102230246251565e-15,True,2.754879229386066,exact_unbounded_fallback_bounded_ls,699.7824376370975,185.6794266868388,2.754879229386066,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,829.2089540807767,33168.35816323107,2.7569227670735463,0.6911727831019948,1.1102230246251565e-15,266.3395886102817,0.0,829.7281615936134,275.18322432800886,4.47545209131181e-16
4,1.3877787807814457e-17,8.326672684688674e-16,1.1717968635088022e-15,True,False,stacked_exact,False,833.1837421363314,33327.34968545325,2.7216966709436337,0.667715129189786,8.881784197001252e-16,259.2692603521428,0.0,2.738754167859297,833.8215305065182,275.16745171992335,1.0179146870343963e-15,True,False,698.0394831793983,1.3877787807814457e-17,8.326672684688674e-16,True,2.7348620040331566,exact_unbounded_fallback_bounded_ls,707.9547091237674,183.36855290881962,2.7348620040331566,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,833.1837421363314,33327.34968545325,2.7216966709436337,0.667715129189786,8.881784197001252e-16,259.2692603521428,0.0,833.8215305065182,275.16745171992335,1.0179146870343963e-15
5,1.7829041963075672e-15,2.5918417478740246e-15,3.1385117117292114e-15,True,False,stacked_exact,False,836.2362116801177,33449.448467204704,2.6746732517677616,0.6401649779433206,2.5918417478740246e-15,251.1747168768403,0.0,2.7288634709202038,836.9863248757916,274.6925875195863,7.327682229021407e-16,True,False,705.9006253287648,1.7763568394002505e-15,2.55351295663786e-15,True,2.725828219074628,exact_unbounded_fallback_bounded_ls,715.7982588243481,180.46198922450046,2.725828219074628,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,836.2362116801177,33449.448467204704,2.6746732517677616,0.6401649779433206,2.5918417478740246e-15,251.1747168768403,0.0,836.9863248757916,274.6925875195863,7.327682229021407e-16
6,1.7764415406755882e-15,1.7763568394002505e-15,3.0614629467624704e-15,True,False,stacked_exact,False,837.29423340667,33491.7693362668,2.6164464410330597,0.6102418904228385,1.7763568394002505e-15,242.33453943367107,0.0,2.731083525680007,838.1505889912809,273.51044932118646,2.7755575615628914e-16,True,False,712.1552303896951,1.7763568394002505e-15,1.7763568394002505e-15,True,2.7296694610600847,exact_unbounded_fallback_bounded_ls,722.0322407778086,176.95669559838126,2.7296694610600847,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,837.29423340667,33491.7693362668,2.6164464410330597,0.6102418904228385,1.7763568394002505e-15,242.33453943367107,0.0,838.1505889912809,273.51044932118646,2.7755575615628914e-16
7,1.780502463357117e-15,2.482534153247273e-15,2.685747046204918e-15,True,False,stacked_exact,False,835.6159338643665,33424.63735457466,2.5482011143158134,0.5800914172324075,2.482534153247273e-15,232.88208254477556,0.0,2.7441797855170393,836.5725317965941,271.44511980818544,1.2994827337208943e-15,True,False,715.9409762252112,1.7763568394002505e-15,2.4424906541753444e-15,True,2.7450206454924517,exact_unbounded_fallback_bounded_ls,725.7941794326317,173.51017102061385,2.7450206454924517,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,835.6159338643665,33424.63735457466,2.5482011143158134,0.5800914172324075,2.482534153247273e-15,232.88208254477556,0.0,836.5725317965941,271.44511980818544,1.2994827337208943e-15
8,2.1163626406917047e-16,4.440892098500626e-16,7.457267290292166e-16,True,False,stacked_exact,False,830.7876389166486,33231.50555666594,2.4715854614069594,0.5522366904974638,4.440892098500626e-16,222.90907286528895,0.0,2.7653631924046187,831.8386020806666,268.4046885150841,4.440892098500626e-16,True,False,716.7635531321332,2.1163626406917047e-16,4.440892098500626e-16,True,2.768934118319497,exact_unbounded_fallback_bounded_ls,726.5898161090803,173.70037791357734,2.768934118319497,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,830.7876389166486,33231.50555666594,2.4715854614069594,0.5522366904974638,4.440892098500626e-16,222.90907286528895,0.0,831.8386020806666,268.4046885150841,4.440892098500626e-16
9,1.9081958235744878e-16,6.661338147750939e-16,7.431781992130955e-16,True,False,stacked_exact,False,822.6770187260108,32907.080749040426,2.3885941502501606,0.5294468346467491,6.661338147750939e-16,212.52023565709877,0.0,2.7913684450886485,823.8165937338863,264.3747721864135,8.005932084973442e-16,True,False,714.4223114022525,1.9081958235744878e-16,6.661338147750939e-16,True,2.7979834108777197,exact_unbounded_fallback_bounded_ls,724.21859843738,173.13350868893647,2.7979834108777197,exact,x_s_exact,u_s_exact,y_s_exact,d_s_exact,822.6770187260108,32907.080749040426,2.3885941502501606,0.5294468346467491,6.661338147750939e-16,212.52023565709877,0.0,823.8165937338863,264.3747721864135,8.005932084973442e-16
