input_index,fraction_lower_bound_active,fraction_upper_bound_active,average_exact_violation_below_lower,average_exact_violation_above_upper
0,0.223125,0.67875,124.02058835741822,207.31326939582604
1,0.4525,0.261875,78.85245893001776,94.7818560777295
