event_kind,event_anchor,k,y_sp,dhat_k,us_exact,us_bounded,solve_mode,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_residual_norm,dhat_delta_inf
setpoint_change,400,395,"[2.751989057031519, 0.5060686884724044]","[2.461777305419815, 0.13002146921891683]","[56.24495609142331, 54.087660647674745]","[-9.999999999999037, 7.299999999999983]",exact_unbounded_fallback_bounded_ls,6.288372600415926e-18,5.551115123125783e-17,0.30003966499495677,0.03549828140410692
setpoint_change,400,396,"[2.751989057031519, 0.5060686884724044]","[2.460938070843394, 0.16684421034640734]","[58.33751068993301, 53.48407815416316]","[-9.999999981320787, 7.299999999898291]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,1.6653345369377348e-16,0.2888391089911329,0.03682274112749051
setpoint_change,400,397,"[2.751989057031519, 0.5060686884724044]","[2.4622502055802253, 0.20431679481072243]","[59.90428439918205, 52.52239588138148]","[-9.999998527195874, 7.299999999999413]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,1.1102230246251565e-16,0.27981573439865337,0.03747258446431509
setpoint_change,400,398,"[2.751989057031519, 0.5060686884724044]","[2.4655051472028724, 0.2418382324548731]","[60.968860839356, 51.24811469505908]","[-7.396126513876067, 7.299999999930692]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,2.220446049250313e-16,0.27188127264300715,0.03752143764415067
setpoint_change,400,399,"[2.751989057031519, 0.5060686884724044]","[2.4704902923451324, 0.2788818022317337]","[61.559654187352024, 49.705894725953804]","[-4.406280344264132, 7.299999999999989]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,5.551115123125783e-17,0.2623404600092147,0.0370435697768606
setpoint_change,400,400,"[-2.210727904737378, -3.3325198391259487]","[2.4769916101426044, 0.31499386007053165]","[-1032.0470049231994, -825.016525809075]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,6.245004513516506e-17,8.881784197001252e-16,5.769541517925252,0.03611205783879795
setpoint_change,400,401,"[-2.210727904737378, -3.3325198391259487]","[2.484796260670003, 0.34979180190354037]","[-1032.3029552260605, -826.96596619586]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,8.881784197001252e-16,4.440892098500626e-16,5.796312561522786,0.034797941833008716
setpoint_change,400,402,"[-2.210727904737378, -3.3325198391259487]","[2.489329752467252, 0.18845433586134192]","[-1041.6938770800682, -824.4587583391653]","[9.959999999999926, -7.4999999999999885]",exact_unbounded_fallback_bounded_ls,8.881784197001252e-16,1.3322676295501878e-15,5.706409317255377,0.16133746604219845
setpoint_change,400,403,"[-2.210727904737378, -3.3325198391259487]","[2.489154650399665, -0.13840228578613772]","[-1058.2877764712384, -817.8781127001796]","[9.959999999999981, -7.499999999999997]",exact_unbounded_fallback_bounded_ls,4.85722573273506e-17,1.3322676295501878e-15,5.526293927602414,0.32685662164747964
setpoint_change,400,404,"[-2.210727904737378, -3.3325198391259487]","[2.4803895526171806, -0.5734680173697602]","[-1078.1588797481065, -807.7503716815957]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,2.498001805406602e-16,8.881784197001252e-16,5.300805955893977,0.43506573158362244
