k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm
0,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.6539030660526,32946.1561226421,2.798133179009428,0.726988529978955,8.881784197001252e-16,274.89697129598034,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7483447840096713,exact_unbounded_fallback_bounded_ls,691.075757342338,185.33756684874996,2.7483447840096713
1,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.5215971428677,32940.8638857147,2.7787728285990956,0.7030183322653301,8.881784197001252e-16,274.8784210088218,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7483447840096713,exact_unbounded_fallback_bounded_ls,691.075757342338,185.33756684874996,2.7483447840096713
2,1.214306433183765e-16,2.7012892057857038e-15,2.828916152059182e-15,True,False,stacked_exact,False,832.6067423111741,33304.269692446964,2.7396808657852563,0.6718383729274199,2.7012892057857038e-15,261.88856355421825,0.0,2.74787851637789,833.0790532333086,275.46360050230413,1.4988010832439613e-15,True,False,695.5499932774742,1.214306433183765e-16,2.6645352591003757e-15,True,2.704121470605478,exact_unbounded_fallback_bounded_ls,695.5499932774742,181.78147541150375,2.704121470605478
3,1.3183898417423734e-16,1.3322676295501878e-15,1.399468186889275e-15,True,False,stacked_exact,False,842.2217459576374,33688.86983830549,2.6834994745965504,0.6364113736786017,1.3322676295501878e-15,248.16465579394404,0.0,2.74470160148866,842.7881812261877,275.9460406199167,2.220446049250313e-16,True,False,713.0587056712199,1.3183898417423734e-16,1.3322676295501878e-15,True,2.704416555170918,exact_unbounded_fallback_bounded_ls,713.0587056712217,177.61929636744537,2.704416555170918
4,6.938893903907228e-18,2.7012892057857038e-15,2.7103441766352008e-15,True,False,stacked_exact,False,848.4558631019025,33938.2345240761,2.6132454451244014,0.6002589533383386,2.7012892057857038e-15,235.50539132917172,0.0,2.7845120746424,849.1112388929782,275.55795285071866,1.2994827337208943e-15,True,False,726.6746015401783,6.938893903907228e-18,2.6645352591003757e-15,True,2.7451534402481084,exact_unbounded_fallback_bounded_ls,726.6746015401785,175.84902053744767,2.7451534402481084
5,2.255140518769849e-16,2.4424906541753444e-15,2.4674621215914623e-15,True,False,stacked_exact,False,849.6552588920252,33986.21035568101,2.532151403155846,0.5672897722843857,2.4424906541753444e-15,223.52142120705273,0.0,2.845763875706109,850.3954660582715,273.8234525316435,1.1102230246251565e-16,True,False,734.8240757611927,2.255140518769849e-16,2.4424906541753444e-15,True,2.7807832323192425,exact_unbounded_fallback_bounded_ls,734.8240757611931,175.6688806116605,2.7807832323192425
6,1.0408340855860843e-16,6.280369834735101e-16,1.0945666416114377e-15,True,False,stacked_exact,False,845.4318640853468,33817.27456341386,2.4435758857278516,0.5416333154360401,6.280369834735101e-16,211.7096062639568,0.0,2.9129829012948125,846.2528403948947,270.5893345951843,4.440892098500626e-16,True,False,737.3100081232911,1.0408340855860843e-16,4.440892098500626e-16,True,2.822375700093373,exact_unbounded_fallback_bounded_ls,737.3100081232913,176.26317381697461,2.822375700093373
7,7.979727989493313e-17,4.440892098500626e-16,6.806562674327251e-16,True,False,stacked_exact,False,836.0951113239249,33443.804452956996,2.3509128961314434,0.5271646385276959,4.440892098500626e-16,199.85327803219192,0.0,2.9775114236146085,836.9923839901845,265.92419740784555,2.220446049250313e-16,True,False,734.537186776548,7.979727989493313e-17,4.440892098500626e-16,True,2.8654156115840284,exact_unbounded_fallback_bounded_ls,734.5371867768326,175.60029621383688,2.8654156115840284
8,1.776695620273571e-15,6.280369834735101e-16,1.3797216340944886e-15,True,False,stacked_exact,False,822.3066687164397,32892.26674865759,2.257493005738719,0.526716753351853,6.280369834735101e-16,187.98496294042263,0.0,3.0347890553556174,823.2753551946428,260.020527038002,6.280369834735101e-16,True,False,727.1739722379887,1.7763568394002505e-15,4.440892098500626e-16,True,2.9046027020125935,exact_unbounded_fallback_bounded_ls,727.1739722381418,173.84002773818108,2.9046027020125935
9,2.7755575615628914e-17,1.831026719408895e-15,1.9061817531691763e-15,True,False,stacked_exact,False,804.8747729620698,32194.990918482792,2.1664780449705066,0.5413107711881467,1.831026719408895e-15,176.27701533341755,0.0,3.082464725269772,805.9101385742862,253.1256408327022,1.1102230246251565e-15,True,False,715.9874178783357,2.7755575615628914e-17,1.7763568394002505e-15,True,2.9369922877491415,exact_unbounded_fallback_bounded_ls,715.9874178792078,171.16574208674842,2.9369922877491415
