case,batch,batch_label,run_dir,n_steps,n_episodes,episode_len,initial_agent,teacher_source,safety_gate,target_selector_variant,rho_lyap,lyap_eps,pretrained_critic_reset,critic_loaded_from_checkpoint,bc_noise,bc_std,bc_update_mode,handoff_episodes,handoff_update_mode,handoff_actor_bc_updates_per_step,handoff_std_end,full_std_start,mean_reward_no_penalty,mean_training_reward,mean_fallback_penalty,summary_output_rmse_mean,tail50_reward_no_penalty,tail50_training_reward,tail50_output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate,accepted_rate,fallback_verified_rate,mean_abs_du_phys,max_abs_du_phys,teacher_gap_mean,handoff_gap_mean,executed_gap_mean,worst_episode,worst_reward_no_penalty,worst_output_rmse_mean
LMPC pretrained + gate,handoff_eps1e3,"critic reset, eps 1e-3, 10-episode actor-frozen handoff",results/OnlineTD3_LMPCPretrained_SafetyGate/20260612_231616,240000,300,800,lmpc_pretrained_td3_20260611_231823.pkl,direct_lyapunov_mpc,True,bounded_mixed_u0p1_x0p1,0.99,0.001,True,False,gaussian,0.0001,critic_td_plus_actor_bc,10,critic_td_plus_actor_bc,1.0,0.005,0.02,-6.247444843411114,-7.808709553572904,1.561264710161789,,-5.148774883642833,-7.384767870893799,0.17973101514350745,0.0265,0.0,0.998125,0.024625,7.927305727916149,760.7652592354381,0.007584283360557016,0.00999483604067238,0.07193226115726568,31,-58.17446307492203,1.0728467252985658
LMPC pretrained no gate,handoff_eps1e3,"critic reset, eps 1e-3, 10-episode actor-frozen handoff",results/OnlineTD3_LMPCPretrained_NoSafetyGate/20260612_231608,240000,300,800,lmpc_pretrained_td3_20260611_231823.pkl,offset_free_mpc,False,bounded_mixed_u0p1_x0p1,0.99,0.001,True,False,gaussian,0.0001,critic_td_plus_actor_bc,10,critic_td_plus_actor_bc,1.0,0.005,0.02,-5.361113735121564,-5.361113735121564,0.0,,-3.927130519744209,-3.927130519744209,0.15597952849701036,0.0,0.06182083333333333,1.0,0.0,5.773028919508049,744.4252714633942,0.006197406902280259,0.008730793155678535,0.0,31,-54.74990791360597,0.9678097002924476
OF-MPC pretrained + gate,handoff_eps1e3,"critic reset, eps 1e-3, 10-episode actor-frozen handoff",results/OnlineTD3_OFMPCPretrained_SafetyGate/20260612_231623,240000,300,800,of_mpc_pretrained_td3_20260610_153921.pkl,offset_free_mpc,True,bounded_mixed_u0p1_x0p1,0.99,0.001,True,False,gaussian,0.0001,critic_td_plus_actor_bc,10,critic_td_plus_actor_bc,1.0,0.005,0.02,-6.213752046001484,-7.742084230839686,1.5283321848382012,,-4.929187585174285,-6.789047437769884,0.17595259993042767,0.0265375,0.0,0.9986625,0.0252,7.925415638584547,728.046587831813,0.006879371878075174,0.010308513667039804,0.06892973590472423,25,-37.63220553706736,0.6219035422811183
OF-MPC pretrained no gate,handoff_eps1e3,"critic reset, eps 1e-3, 10-episode actor-frozen handoff",results/OnlineTD3_OFMPCPretrained_NoSafetyGate/20260612_231619,240000,300,800,of_mpc_pretrained_td3_20260610_153921.pkl,offset_free_mpc,False,bounded_mixed_u0p1_x0p1,0.99,0.001,True,False,gaussian,0.0001,critic_td_plus_actor_bc,10,critic_td_plus_actor_bc,1.0,0.005,0.02,-5.466807349385942,-5.466807349385942,0.0,,-4.0914109708670425,-4.0914109708670425,0.1596806280476137,0.0,0.0576,1.0,0.0,5.699191750311551,471.95504665374756,0.006188410122545534,0.008665318348463628,0.0,31,-73.13378575306514,1.0766378369019505
