case,batch,phase,n_episodes,reward_no_penalty,reward,fallback_penalty,output_rmse,actual_intervention_rate,diagnostic_unsafe_rate,teacher_gap,handoff_gap,executed_gap
OF-MPC pretrained no gate,low_noise,handoff,5,-77.25732298327765,-77.25732298327765,0.0,0.8279133855111223,0.0,0.004000000000000001,0.15147486004050878,0.38645044676711054,0.0
OF-MPC pretrained no gate,low_noise,early full,50,-57.964733836662255,-57.964733836662255,0.0,0.7663879477618267,0.0,0.004475,nan,nan,0.0
OF-MPC pretrained no gate,low_noise,mid full,175,-6.2196015635731055,-6.2196015635731055,0.0,0.2287988602691707,0.0,0.026792857142857153,nan,nan,0.0
OF-MPC pretrained no gate,low_noise,tail 50,50,-4.194599107758145,-4.194599107758145,0.0,0.15831686825741015,0.0,0.050625,nan,nan,0.0
Cold start + gate,old_noise,BC,20,-170.00618105855497,-170.18914536373217,0.1829643051772304,1.5436824541543703,0.013000000000000001,0.0,0.9576470642733956,nan,0.011958170409059825
Cold start + gate,old_noise,handoff,5,-11.732754370265287,-11.9314406684754,0.1986862982101138,0.3990350550052593,0.00525,0.0,0.62378944388006,0.6700907949791012,0.008624598983759746
Cold start + gate,old_noise,early full,50,-7.538844188485264,-8.361003762968338,0.8221595744830723,0.22620662174264275,0.011575000000000002,0.0,nan,nan,0.03371794154434982
Cold start + gate,old_noise,mid full,175,-5.586430627344838,-7.048173539867825,1.4617429125229866,0.1771405063028139,0.021664285714285712,0.0,nan,nan,0.06654397967215604
Cold start + gate,old_noise,tail 50,50,-5.012522211831621,-7.146292687722466,2.1337704758908465,0.17057990499677078,0.044275,0.0,nan,nan,0.1046671094188167
Cold start + gate,low_noise,BC,20,-20.431911448417985,-20.485723909473315,0.05381246105533163,0.4930686882647697,0.005375,0.0,0.04917683257382686,nan,0.00025686595664358694
Cold start + gate,low_noise,handoff,5,-7.437367539317194,-7.647278012074293,0.20991047275709845,0.2697363065715625,0.002,0.0,0.12468647493144343,0.18976368735910426,0.008074479588706768
Cold start + gate,low_noise,early full,50,-7.304209649998091,-8.048340380896251,0.7441307308981594,0.21269426454255505,0.009475,0.0,nan,nan,0.030573986410392443
Cold start + gate,low_noise,mid full,175,-5.4693212746180055,-6.668896195808466,1.1995749211904574,0.17718063794846384,0.01872857142857143,0.0,nan,nan,0.05536756180767691
Cold start + gate,low_noise,tail 50,50,-4.895649726180252,-6.590201980875314,1.6945522546950622,0.17287873217300845,0.032475000000000004,0.0,nan,nan,0.07801653014707453
Cold start no gate,old_noise,BC,20,-113.19027046922574,-113.19027046922574,0.0,1.3022960415296387,0.0,0.01975,0.9622710900058379,nan,0.0
Cold start no gate,old_noise,handoff,5,-10.242647829164156,-10.242647829164156,0.0,0.32442167575920966,0.0,0.0095,0.5873936620341204,0.6576517144173989,0.0
Cold start no gate,old_noise,early full,50,-7.029102048164421,-7.029102048164421,0.0,0.20283439833260883,0.0,0.009899999999999999,nan,nan,0.0
Cold start no gate,old_noise,mid full,175,-4.816123048696446,-4.816123048696446,0.0,0.1661007451221276,0.0,0.03421428571428572,nan,nan,0.0
Cold start no gate,old_noise,tail 50,50,-3.978708635153989,-3.978708635153989,0.0,0.15613125665530864,0.0,0.078875,nan,nan,0.0
Cold start no gate,low_noise,BC,20,-12.726814986933658,-12.726814986933658,0.0,0.3817941758716794,0.0,0.0260625,0.04919048985678821,nan,0.0
Cold start no gate,low_noise,handoff,5,-7.90220764187342,-7.90220764187342,0.0,0.28144572902463666,0.0,0.015750000000000004,0.14156013921863195,0.21001156797254167,0.0
Cold start no gate,low_noise,early full,50,-6.887927138092889,-6.887927138092889,0.0,0.20913956681188384,0.0,0.009375,nan,nan,0.0
Cold start no gate,low_noise,mid full,175,-4.8358201011612385,-4.8358201011612385,0.0,0.16591167392746867,0.0,0.03303571428571427,nan,nan,0.0
Cold start no gate,low_noise,tail 50,50,-3.9635606144811018,-3.9635606144811018,0.0,0.1558593130763616,0.0,0.0751,nan,nan,0.0
