case_key,case,latest_run_id,prev_reward_no_penalty,latest_reward_no_penalty,delta_reward_no_penalty,pct_change_reward_no_penalty,prev_training_reward,latest_training_reward,delta_training_reward,pct_change_training_reward,prev_output_rmse_mean,latest_output_rmse_mean,delta_output_rmse_mean,pct_change_output_rmse_mean,prev_eta_rmse,latest_eta_rmse,delta_eta_rmse,pct_change_eta_rmse,prev_T_rmse,latest_T_rmse,delta_T_rmse,pct_change_T_rmse,prev_diagnostic_unsafe_rate,latest_diagnostic_unsafe_rate,delta_diagnostic_unsafe_rate,pct_change_diagnostic_unsafe_rate,prev_actual_intervention_rate,latest_actual_intervention_rate,delta_actual_intervention_rate,pct_change_actual_intervention_rate,prev_fallback_rate,latest_fallback_rate,delta_fallback_rate,pct_change_fallback_rate,prev_target_failure_rate,latest_target_failure_rate,delta_target_failure_rate,pct_change_target_failure_rate
cold_nogate,Cold start no gate,20260620_003041,-5.489103684771482,-5.899417682975681,-0.4103139982041988,-7.47506372201604,-5.489103684771482,-5.899417682975681,-0.4103139982041988,-7.47506372201604,0.2177532376376219,0.22554097995094227,0.007787742313320384,3.576407128458177,0.12721359442585742,0.13239157633251325,0.005177981906655832,4.070305481128168,0.30829288084938633,0.3186903835693713,0.010397502719984963,3.372605520873045,0.164,0.09126666666666666,-0.07273333333333334,-44.34959349593496,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.006991666666666667,0.002691666666666667,-0.0043,-61.50178784266984
cold_gate,Cold start + gate,20260620_003031,-6.2925417544839695,-6.1909186528344335,0.10162310164953592,1.6149769936309257,-8.171961247338437,-6.1909186528344335,1.9810425945040038,24.241947979736427,0.23193558602771502,0.22212607770768583,-0.009809508320029192,-4.229410625610944,0.1303560753364495,0.13492730806569578,0.004571232729246283,3.506727797264466,0.33351509671898055,0.30932484734967586,-0.024190249369304695,-7.253119755981354,0.0,0.0,0.0,nan,0.056266666666666666,0.02650833333333333,-0.029758333333333335,-52.88803317535545,0.0495625,0.0243375,-0.025225,-50.8953341740227,0.0066458333333333335,0.002108333333333333,-0.0045375,-68.27586206896551
of_nogate,OF-MPC pretrained no gate,20260620_003020,-4.687845992315733,-4.757082449828112,-0.06923645751237917,-1.476935411826046,-4.687845992315733,-4.757082449828112,-0.06923645751237917,-1.476935411826046,0.18395966014822857,0.1884686521798397,0.004508992031611148,2.4510765175245224,0.12135752104007573,0.12170276880828154,0.0003452477682058114,0.2844881514115641,0.2465617992563814,0.25523453555139786,0.00867273629501647,3.517469584166334,0.04204583333333333,0.0274125,-0.014633333333333332,-34.8032900604499,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.007229166666666667,0.002341666666666667,-0.0048874999999999995,-67.60806916426512
of_gate,OF-MPC pretrained + gate,20260620_002952,-5.5637649905132225,-5.927911603855142,-0.36414661334191933,-6.544967552778125,-6.766175299356653,-5.927911603855142,0.838263695501511,12.389033071330793,0.2061483163770758,0.21870251860789522,0.012554202230819406,6.089888315098295,0.1294014111918901,0.13223454781021715,0.0028331366183270423,2.189417095402281,0.2828952215622615,0.3051704894055733,0.022275267843311797,7.874034676265929,0.0,0.0,0.0,nan,0.0231125,0.014541666666666666,-0.008570833333333335,-37.083107986298906,0.017504166666666668,0.011929166666666666,-0.005575000000000002,-31.84955962865985,0.005591666666666667,0.0026041666666666665,-0.0029875,-53.42771982116245
