case_key,case,short_label,family,safety_gate,pretrained,n_runs,run_ids,seeds,reward_no_penalty_mean,reward_no_penalty_std,reward_no_penalty_min,reward_no_penalty_max,training_reward_mean,training_reward_std,training_reward_min,training_reward_max,fallback_penalty_mean,fallback_penalty_std,fallback_penalty_min,fallback_penalty_max,output_rmse_mean_mean,output_rmse_mean_std,output_rmse_mean_min,output_rmse_mean_max,eta_rmse_mean,eta_rmse_std,eta_rmse_min,eta_rmse_max,T_rmse_mean,T_rmse_std,T_rmse_min,T_rmse_max,candidate_pass_rate_mean,candidate_pass_rate_std,candidate_pass_rate_min,candidate_pass_rate_max,actual_intervention_rate_mean,actual_intervention_rate_std,actual_intervention_rate_min,actual_intervention_rate_max,fallback_rate_mean,fallback_rate_std,fallback_rate_min,fallback_rate_max,diagnostic_unsafe_rate_mean,diagnostic_unsafe_rate_std,diagnostic_unsafe_rate_min,diagnostic_unsafe_rate_max,gate_activity_rate_mean,gate_activity_rate_std,gate_activity_rate_min,gate_activity_rate_max,target_failure_rate_mean,target_failure_rate_std,target_failure_rate_min,target_failure_rate_max,executed_action_gap_inf_mean_mean,executed_action_gap_inf_mean_std,executed_action_gap_inf_mean_min,executed_action_gap_inf_mean_max,executed_action_gap_inf_max_mean,executed_action_gap_inf_max_std,executed_action_gap_inf_max_min,executed_action_gap_inf_max_max
cold_gate,Cold start + gate,Cold gate,Cold start,True,False,2,"20260619_131645, 20260619_174127","123, 123",-6.2925417544839695,0.0,-6.2925417544839695,-6.2925417544839695,-8.171961247338437,0.0,-8.171961247338437,-8.171961247338437,1.8794194928544685,0.0,1.8794194928544685,1.8794194928544685,0.23193558602771502,0.0,0.23193558602771502,0.23193558602771502,0.1303560753364495,0.0,0.1303560753364495,0.1303560753364495,0.33351509671898055,0.0,0.33351509671898055,0.33351509671898055,0.9437333333333333,0.0,0.9437333333333333,0.9437333333333333,0.056266666666666666,0.0,0.056266666666666666,0.056266666666666666,0.0495625,0.0,0.0495625,0.0495625,0.0,0.0,0.0,0.0,0.056266666666666666,0.0,0.056266666666666666,0.056266666666666666,0.0066458333333333335,0.0,0.0066458333333333335,0.0066458333333333335,0.09205026391755898,0.0,0.09205026391755898,0.09205026391755898,19.5570093738865,0.0,19.5570093738865,19.5570093738865
cold_nogate,Cold start no gate,Cold no gate,Cold start,False,False,2,"20260619_131640, 20260619_174127","123, 123",-5.489103684771482,0.0,-5.489103684771482,-5.489103684771482,-5.489103684771482,0.0,-5.489103684771482,-5.489103684771482,0.0,0.0,0.0,0.0,0.2177532376376219,0.0,0.2177532376376219,0.2177532376376219,0.12721359442585742,0.0,0.12721359442585742,0.12721359442585742,0.30829288084938633,0.0,0.30829288084938633,0.30829288084938633,0.836,0.0,0.836,0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.164,0.164,0.164,0.0,0.164,0.164,0.006991666666666667,0.0,0.006991666666666667,0.006991666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of_gate,OF-MPC pretrained + gate,OF gate,OF-MPC pretrained,True,True,2,"20260619_131652, 20260619_174130","123, 123",-5.5637649905132225,0.0,-5.5637649905132225,-5.5637649905132225,-6.766175299356653,0.0,-6.766175299356653,-6.766175299356653,1.2024103088434301,0.0,1.2024103088434301,1.2024103088434301,0.2061483163770758,0.0,0.2061483163770758,0.2061483163770758,0.1294014111918901,0.0,0.1294014111918901,0.1294014111918901,0.2828952215622615,0.0,0.2828952215622615,0.2828952215622615,0.9768875,0.0,0.9768875,0.9768875,0.0231125,0.0,0.0231125,0.0231125,0.017504166666666668,0.0,0.017504166666666668,0.017504166666666668,0.0,0.0,0.0,0.0,0.0231125,0.0,0.0231125,0.0231125,0.005591666666666667,0.0,0.005591666666666667,0.005591666666666667,0.04850156832602509,0.0,0.04850156832602509,0.04850156832602509,15.09121097286849,0.0,15.09121097286849,15.09121097286849
of_nogate,OF-MPC pretrained no gate,OF no gate,OF-MPC pretrained,False,True,2,"20260619_131649, 20260619_174127","123, 123",-4.687845992315733,0.0,-4.687845992315733,-4.687845992315733,-4.687845992315733,0.0,-4.687845992315733,-4.687845992315733,0.0,0.0,0.0,0.0,0.18395966014822857,0.0,0.18395966014822857,0.18395966014822857,0.12135752104007573,0.0,0.12135752104007573,0.12135752104007573,0.2465617992563814,0.0,0.2465617992563814,0.2465617992563814,0.9579541666666667,0.0,0.9579541666666667,0.9579541666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04204583333333333,0.0,0.04204583333333333,0.04204583333333333,0.04204583333333333,0.0,0.04204583333333333,0.04204583333333333,0.007229166666666667,0.0,0.007229166666666667,0.007229166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
