case_key,case,short_label,execution,run_id,episode,step_start,step_stop_exclusive,n_steps,reward_mean,reward_sum,reward_no_penalty_mean,reward_no_penalty_sum,fallback_penalty_mean,fallback_penalty_sum,diagnostic_unsafe_count,diagnostic_unsafe_rate,diagnostic_unstable_count,diagnostic_unstable_rate,actual_intervention_count,actual_intervention_rate,projection_count,projection_rate,accepted_candidate_count,section16_projection_count,fallback_count,fallback_verified_count,fallback_unverified_count,target_fail_hold_prev_count,solver_fail_hold_prev_count,target_hold_prev_count,solver_hold_prev_count,gart_target_hold_prev_count,gart_solver_hold_prev_count,target_failure_count,min_contraction_margin,max_executed_action_gap_inf,output_rmse_mean,output_max_abs_error,output0_rmse,output1_rmse,output0_max_abs_error,output1_max_abs_error,phase,gate_activity_rate
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,1,0,800,800,-9.601462556978658,-7681.170045582927,-9.601462556978658,-7681.170045582927,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.463494494453217,0.0,0.3316832001089158,2.9821420030287413,0.166554611254495,0.4968117889633366,1.1007910670445606,2.9821420030287413,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,2,800,1600,800,-12.552211505021596,-10041.769204017275,-12.552211505021596,-10041.769204017275,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.56817795838927,0.0,0.3789783764291748,2.982237696539812,0.1915827642435292,0.5663739886148204,1.0992230932827782,2.982237696539812,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,3,1600,2400,800,-12.52247679247104,-10017.98143397683,-12.52247679247104,-10017.98143397683,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.460908491108682,0.0,0.3785104610846727,2.980680979299507,0.1914350511294635,0.5655858710398819,1.101511496003908,2.980680979299507,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,4,2400,3200,800,-12.62888154131262,-10103.105233050095,-12.62888154131262,-10103.105233050095,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.364282572992863,0.0,0.3805419596565275,2.975963211959595,0.1919624944280647,0.5691214248849903,1.100828041816523,2.975963211959595,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,5,3200,4000,800,-12.609332847438315,-10087.466277950654,-12.609332847438315,-10087.466277950654,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.623118958637264,0.0,0.3807828908256671,3.0039445097096973,0.1917950652437041,0.56977071640763,1.0989485457611017,3.0039445097096973,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,6,4000,4800,800,-12.53455033860183,-10027.640270881464,-12.53455033860183,-10027.640270881464,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.49954640183779,0.0,0.3783461704540842,2.97493622445478,0.1915687708511927,0.5651235700569758,1.1018185594675032,2.97493622445478,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,7,4800,5600,800,-12.592846859758522,-10074.277487806818,-12.592846859758522,-10074.277487806818,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.366957124907287,0.0,0.3800458221495617,2.969092563325546,0.1917970340368014,0.5682946102623221,1.1003729505567112,2.969092563325546,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,8,5600,6400,800,-12.549979933023025,-10039.98394641842,-12.549979933023025,-10039.98394641842,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.664323197679437,0.0,0.3802652000671914,2.984456256548242,0.191157579362642,0.5693728207717409,1.1001773808201745,2.984456256548242,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,9,6400,7200,800,-12.702217109633922,-10161.773687707138,-12.702217109633922,-10161.773687707138,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.72760744894427,0.0,0.38148473063897,2.994193136966089,0.1926489245020671,0.5703205367758728,1.103930576405991,2.994193136966089,teacher critic,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,10,7200,8000,800,-12.618781632405316,-10095.025305924251,-12.618781632405316,-10095.025305924251,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,0,0,0,0,0,-15.3689014507718,0.0,0.3805178250038961,2.967297464070498,0.1919501220379849,0.5690855279698073,1.1005615044462136,2.967297464070498,teacher critic,0.0
