case_key,case,short_label,execution,run_id,phase,episodes,steps,reward_no_penalty,training_reward,fallback_penalty,output_rmse_mean,eta_rmse,T_rmse,actual_intervention_rate,fallback_rate,diagnostic_unsafe_rate,gate_activity_rate,target_failure_rate,max_executed_action_gap_inf
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,teacher critic,10,8000,-12.291274111664485,-12.291274111664485,0.0,0.3751156636418661,0.18924524170899443,0.5609860855747378,0.0,0.0,0.0,0.0,0.0,0.0
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,handoff,10,8000,-12.971656435902116,-13.73727139888691,0.7656149629847945,0.3809248936394912,0.176084818619257,0.5857649686597254,0.045625,0.040625,0.0,0.045625,0.005,8.318961467372448
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,full RL,280,224000,-5.8397615031054455,-7.826081853914348,1.9863203508089022,0.21220480148602325,0.1251345520321747,0.2992750509398718,0.05865625,0.05165178571428571,0.0,0.05865625,0.006941964285714286,19.5570093738865
cold_gate,Cold start + gate,Cold gate,1,20260619_131645,last 100 episodes,100,80000,-5.324567911755428,-6.614445842056185,1.2898779303007568,0.20200581731815398,0.12368358178800459,0.2803280528483034,0.0403625,0.0342375,0.0,0.0403625,0.0061125,19.114704465360767
cold_gate,Cold start + gate,Cold gate,2,20260619_174127,teacher critic,10,8000,-12.291274111664485,-12.291274111664485,0.0,0.3751156636418661,0.18924524170899443,0.5609860855747378,0.0,0.0,0.0,0.0,0.0,0.0
cold_gate,Cold start + gate,Cold gate,2,20260619_174127,handoff,10,8000,-12.971656435902116,-13.73727139888691,0.7656149629847945,0.3809248936394912,0.176084818619257,0.5857649686597254,0.045625,0.040625,0.0,0.045625,0.005,8.318961467372448
cold_gate,Cold start + gate,Cold gate,2,20260619_174127,full RL,280,224000,-5.8397615031054455,-7.826081853914348,1.9863203508089022,0.21220480148602325,0.1251345520321747,0.2992750509398718,0.05865625,0.05165178571428571,0.0,0.05865625,0.006941964285714286,19.5570093738865
cold_gate,Cold start + gate,Cold gate,2,20260619_174127,last 100 episodes,100,80000,-5.324567911755428,-6.614445842056185,1.2898779303007568,0.20200581731815398,0.12368358178800459,0.2803280528483034,0.0403625,0.0342375,0.0,0.0403625,0.0061125,19.114704465360767
cold_nogate,Cold start no gate,Cold no gate,1,20260619_131640,teacher critic,10,8000,-12.291274111664485,-12.291274111664485,0.0,0.3751156636418661,0.18924524170899443,0.5609860855747378,0.0,0.0,0.0,0.0,0.0,0.0
cold_nogate,Cold start no gate,Cold no gate,1,20260619_131640,handoff,10,8000,-14.258241921020772,-14.258241921020772,0.0,0.39460123668817654,0.1951985689389227,0.5940039044374303,0.0,0.0,0.094,0.094,0.00625,0.0
cold_nogate,Cold start no gate,Cold no gate,1,20260619_131640,full RL,280,224000,-4.932985518230685,-4.932985518230685,0.0,0.19237649059481507,0.12032018361256862,0.2644327975770615,0.0,0.0,0.17235714285714285,0.17235714285714285,0.007267857142857143,0.0
cold_nogate,Cold start no gate,Cold no gate,1,20260619_131640,last 100 episodes,100,80000,-4.076777539171103,-4.076777539171103,0.0,0.1581324508141657,0.11473849060047642,0.20152641102785496,0.0,0.0,0.043675,0.043675,0.0083125,0.0
cold_nogate,Cold start no gate,Cold no gate,2,20260619_174127,teacher critic,10,8000,-12.291274111664485,-12.291274111664485,0.0,0.3751156636418661,0.18924524170899443,0.5609860855747378,0.0,0.0,0.0,0.0,0.0,0.0
cold_nogate,Cold start no gate,Cold no gate,2,20260619_174127,handoff,10,8000,-14.258241921020772,-14.258241921020772,0.0,0.39460123668817654,0.1951985689389227,0.5940039044374303,0.0,0.0,0.094,0.094,0.00625,0.0
cold_nogate,Cold start no gate,Cold no gate,2,20260619_174127,full RL,280,224000,-4.932985518230685,-4.932985518230685,0.0,0.19237649059481507,0.12032018361256862,0.2644327975770615,0.0,0.0,0.17235714285714285,0.17235714285714285,0.007267857142857143,0.0
cold_nogate,Cold start no gate,Cold no gate,2,20260619_174127,last 100 episodes,100,80000,-4.076777539171103,-4.076777539171103,0.0,0.1581324508141657,0.11473849060047642,0.20152641102785496,0.0,0.0,0.043675,0.043675,0.0083125,0.0
of_gate,OF-MPC pretrained + gate,OF gate,1,20260619_131652,teacher critic,10,8000,-12.27515838812009,-12.27515838812009,0.0,0.37499786203580265,0.18919506160547525,0.5608006624661301,0.0,0.0,0.0,0.0,0.0,0.0
of_gate,OF-MPC pretrained + gate,OF gate,1,20260619_131652,handoff,10,8000,-10.437045684008575,-11.348402959212299,0.9113572752037219,0.3038407949514496,0.1616612108090518,0.4460203790938474,0.037625,0.02875,0.0,0.037625,0.008875,9.534746085307944
of_gate,OF-MPC pretrained + gate,OF gate,1,20260619_131652,full RL,280,224000,-5.150026630116715,-6.405774915477401,1.2557482853606847,0.189614305033752,0.12482805218721994,0.25440055788028415,0.023419642857142858,0.01772767857142857,0.0,0.023419642857142858,0.005674107142857143,15.09121097286849
of_gate,OF-MPC pretrained + gate,OF gate,1,20260619_131652,last 100 episodes,100,80000,-4.883237068402152,-5.996012421015748,1.112775352613596,0.18230674960539697,0.12277269246015346,0.2418408067506405,0.0143625,0.0083625,0.0,0.0143625,0.006,15.09121097286849
