input_index,fraction_lower_bound_active,fraction_upper_bound_active,average_exact_violation_below_lower,average_exact_violation_above_upper
0,0.220625,0.26375,59.165476926202636,54.02293966226463
1,0.1325,0.071875,30.20143183561746,26.59532707275343
