case,family,run_dir,n_steps,n_episodes,reward_mean,reward_no_penalty_mean,fallback_penalty_mean,reward_penalty_gap,output0_rmse,output1_rmse,output_rmse_mean,output0_mae,output1_mae,output_mae_mean,output_max_abs_error,tail50_reward_no_penalty,tail50_reward,tail50_output_rmse_mean,tail50_actual_intervention_rate,tail50_diagnostic_unsafe_rate,last_reward_no_penalty,last_output_rmse_mean,last_actual_intervention_rate,last_diagnostic_unsafe_rate,best_episode,best_reward_no_penalty,best_output_rmse_mean,actual_intervention_rate,actual_gate_intervention_rate,diagnostic_unsafe_rate,fallback_rate,accepted_rate,fallback_count,fallback_verified_count,solver_fail_hold_prev_count,target_fail_hold_prev_count,teacher_source,safety_gate,controller,wall_clock_seconds
LMPC pretrained + gate,online_gate,results\OnlineTD3_LMPCPretrained_SafetyGate\20260610_200545,240000,300,-10.701150148595788,-8.815306338623996,1.8858438099717911,1.8858438099717922,0.15230591575839017,0.4267449210794038,0.289525418418897,0.05587758745697918,0.19787478085957041,0.12687618415827479,9.449638696644115,-5.070960851173995,-7.634485318888373,0.16863695546951255,0.04954999999999999,0.0,-5.124853777907604,0.1652528172293328,0.05625,0.0,255,-3.879289632361511,0.1501317617513701,0.04364166666666667,0.04364166666666667,0.0,0.04272083333333333,0.9563583333333333,10253,10253,221,0,direct_lyapunov_mpc,True,td3_safety_gate,5596.806129000004
OF-MPC pretrained + gate,online_gate,results\OnlineTD3_OFMPCPretrained_SafetyGate\20260610_200552,240000,300,-10.84856020447312,-8.727941336194249,2.120618868278872,2.1206188682788714,0.1510207126593039,0.42524660284443466,0.2881336577518693,0.060128730582574286,0.20579323414923323,0.13296098236590376,7.499265679292591,-4.672212202316796,-6.223979064295391,0.16616160895227433,0.028024999999999998,0.0,-4.122530912614011,0.1624155740641604,0.00375,0.0,291,-4.0812264068821165,0.1621088106699467,0.04294166666666667,0.04294166666666667,0.0,0.041041666666666664,0.9570583333333333,9850,9850,456,0,offset_free_mpc,True,td3_safety_gate,5361.294575099993
LMPC pretrained no gate,online_no_gate,results\OnlineTD3_LMPCPretrained_NoSafetyGate\20260610_200457,240000,300,-70.24651174318332,-70.24651174318332,0.0,0.0,0.19708031539951693,2.4687281352597035,1.3329042253296102,0.05601763058250734,0.272141886426305,0.16407975850440618,106.98450100527663,-4.286090328783253,-4.286090328783253,0.16765577198970127,0.0,0.0281,-4.314135374098076,0.1688714665052991,0.0,0.01625,278,-4.210331518390616,0.1642130761306632,0.0,0.0,0.06833333333333333,0.0,0.0,0,0,0,0,offset_free_mpc,False,td3_no_safety_gate,4959.859639100003
OF-MPC pretrained no gate,online_no_gate,results\OnlineTD3_OFMPCPretrained_NoSafetyGate\20260610_200548,240000,300,-6.858243400035228,-6.858243400035228,0.0,0.0,0.13877141004638754,0.39130149813598547,0.2650364540911865,0.04539213864890687,0.16835333676676295,0.10687273770783491,9.545987168328907,-4.036229490684147,-4.036229490684147,0.1570550141025229,0.0,0.018750000000000003,-3.930915979929402,0.1564886129260702,0.0,0.00375,295,-3.911207643617897,0.1537227456944711,0.0,0.0,0.07873333333333334,0.0,0.0,0,0,0,0,offset_free_mpc,False,td3_no_safety_gate,4971.293179700006
Cold start + gate,online_gate,results\OnlineTD3_ColdStart_SafetyGate\20260610_200453,240000,300,-17.88074347785639,-15.554108835228456,2.3266346426279334,2.326634642627935,0.1872170941513599,0.6780184638334718,0.4326177789924158,0.06467263913064832,0.22903845474126583,0.14685554693595707,16.889804297724993,-4.761393244064851,-6.477937755091882,0.16456936459846166,0.0361,0.0,-4.670204979182876,0.1670021602857772,0.01375,0.0,289,-3.9990858508191183,0.1565156962112879,0.038408333333333336,0.038408333333333336,0.0,0.036458333333333336,0.9615916666666666,8750,8750,468,0,direct_lyapunov_mpc,True,td3_safety_gate,5722.5775808000035
Cold start no gate,online_no_gate,results\OnlineTD3_ColdStart_NoSafetyGate\20260610_200450,240000,300,-12.360769054060448,-12.360769054060448,0.0,0.0,0.17444067335961344,0.5950153384823004,0.3847280059209569,0.056203740599997574,0.19660939329893948,0.12640656694946853,10.8297289080503,-3.978708635153989,-3.978708635153989,0.15613125665530864,0.0,0.023450000000000006,-3.923649760286812,0.15539934275087,0.0,0.00625,298,-3.873873312522115,0.1547616512430576,0.0,0.0,0.0509375,0.0,0.0,0,0,0,0,offset_free_mpc,False,td3_no_safety_gate,5035.605488600006
Direct LMPC baseline,baseline,results\DirectLMPCDisturbance\20260610_200442,240000,300,-12.498915957305657,-12.498915957305657,0.0,0.0,0.1909704070358824,0.564262680058132,0.3776165435470072,0.07053800513270085,0.2883420417205688,0.17944002342663484,2.9895205239396887,-12.20564878854716,-12.20564878854716,0.3699486996822555,0.0,0.0,-12.117241695283042,0.36773336164903075,0.0,0.0,1,-9.592975901975331,0.32921449568916933,1.0,0.0,0.0,,,0,0,0,0,,False,direct_lyapunov_mpc,9516.23100900001
OF-MPC baseline,baseline,results\OffsetFreeMPCDisturbance\20260610_200445,240000,300,-12.480443125920576,-12.480443125920576,0.0,0.0,0.19068743562659546,0.5651469916108133,0.37791721361870434,0.06956245006133481,0.2886042578934788,0.17908335397740682,2.9895467618890166,-12.177094401660435,-12.177094401660435,0.3703931522800118,0.0,0.0025,-12.089039557722485,0.36814751597852047,0.0,0.0025,1,-9.59301767804423,0.32922987071191545,0.0,0.0,0.0018333333333333333,,,0,0,0,0,,False,offset_free_mpc,4334.459598799993
