case,phase,n_episodes,reward_mean,reward_no_penalty_mean,fallback_penalty_mean,output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate,fallback_count,fallback_verified_count,solver_fail_hold_prev_count
LMPC pretrained + gate,BC,20,-50.527324398435745,-50.33427038747429,0.1930540109614543,0.7905635457346079,0.018999999999999996,0.0,197,197,107
LMPC pretrained + gate,handoff,5,-17.220132777451216,-16.159728648225844,1.0604041292253736,0.4331499532947136,0.0345,0.0,123,123,15
LMPC pretrained + gate,full TD3,275,-7.686174155355509,-5.662210365805759,2.02396378954975,0.19437079975737764,0.045599999999999995,0.0,9933,9933,99
LMPC pretrained + gate,tail 50,50,-7.634485318888373,-5.070960851173995,2.563524467714379,0.16863695546951255,0.04954999999999999,0.0,1971,1971,11
OF-MPC pretrained + gate,BC,20,-54.83204953835146,-52.03372134146051,2.7983281968909486,0.8093998511542031,0.0355,0.0,429,429,139
OF-MPC pretrained + gate,handoff,5,-15.045924414673218,-13.229963862446828,1.8159605522263913,0.3425639098018407,0.029500000000000005,0.0,114,114,4
OF-MPC pretrained + gate,full TD3,275,-7.57344526727833,-5.496575108061201,2.0768701592171293,0.19448221349017825,0.043727272727272726,0.0,9307,9307,313
OF-MPC pretrained + gate,tail 50,50,-6.223979064295391,-4.672212202316796,1.551766861978595,0.16616160895227433,0.028024999999999998,0.0,1063,1063,58
LMPC pretrained no gate,BC,20,-17.11432668510014,-17.11432668510014,0.0,0.4558864717973418,0.0,0.075375,0,0,0
LMPC pretrained no gate,handoff,5,-11.264098611048814,-11.264098611048814,0.0,0.3941537226920092,0.0,0.29125,0,0,0
LMPC pretrained no gate,full TD3,275,-75.1830781679918,-75.1830781679918,0.0,0.2948478081378645,0.0,0.06376818181818182,0,0,0
LMPC pretrained no gate,tail 50,50,-4.286090328783253,-4.286090328783253,0.0,0.16765577198970127,0.0,0.0281,0,0,0
OF-MPC pretrained no gate,BC,20,-17.11432668510014,-17.11432668510014,0.0,0.4558864717973418,0.0,0.075375,0,0,0
OF-MPC pretrained no gate,handoff,5,-14.97715593517131,-14.97715593517131,0.0,0.3987254985246917,0.0,0.17325000000000002,0,0,0
OF-MPC pretrained no gate,full TD3,275,-5.964729842300761,-5.964729842300761,0.0,0.20048855089642836,0.0,0.0772590909090909,0,0,0
OF-MPC pretrained no gate,tail 50,50,-4.036229490684147,-4.036229490684147,0.0,0.1570550141025229,0.0,0.018750000000000003,0,0,0
Cold start + gate,BC,20,-145.7200606506451,-145.40819989883178,0.3118607518133156,1.4835391579889472,0.021374999999999998,0.0,162,162,180
Cold start + gate,handoff,5,-14.926864847211709,-12.970112951594412,1.9567518956172953,0.3677684554926017,0.0405,0.0,155,155,7
Cold start + gate,full TD3,275,-8.637045476756205,-6.157156683032469,2.4798887937237355,0.18125305385754875,0.039609090909090906,0.0,8433,8433,281
Cold start + gate,tail 50,50,-6.477937755091882,-4.761393244064851,1.716544511027032,0.16456936459846166,0.0361,0.0,1409,1409,35
Cold start no gate,BC,20,-113.19027046922574,-113.19027046922574,0.0,1.3022960415296387,0.0,0.0315625,0,0,0
Cold start no gate,handoff,5,-10.242647829164156,-10.242647829164156,0.0,0.32442167575920966,0.0,0.1165,0,0,0
Cold start no gate,full TD3,275,-5.066225700682905,-5.066225700682905,0.0,0.1709669568937026,0.0,0.051154545454545466,0,0,0
Cold start no gate,tail 50,50,-3.978708635153989,-3.978708635153989,0.0,0.15613125665530864,0.0,0.023450000000000006,0,0,0
Direct LMPC baseline,BC,20,-12.420576213180027,-12.420576213180027,0.0,0.3772527963235448,0.0,0.0,0,0,0
Direct LMPC baseline,handoff,5,-12.575148066342123,-12.575148066342123,0.0,0.37991880619212576,0.0,0.0,0,0,0
Direct LMPC baseline,full TD3,275,-12.50322735489595,-12.50322735489595,0.0,0.3775601829046405,0.0,0.0,0,0,0
Direct LMPC baseline,tail 50,50,-12.20564878854716,-12.20564878854716,0.0,0.3699486996822555,0.0,0.0,0,0,0
OF-MPC baseline,BC,20,-12.419540329245036,-12.419540329245036,0.0,0.3772537654784498,0.0,0.0,0,0,0
OF-MPC baseline,handoff,5,-12.574153585631732,-12.57415358563173,0.0,0.37991982316235245,0.0,0.0,0,0,0
OF-MPC baseline,full TD3,275,-12.483168593684049,-12.483168593684049,0.0,0.37788976723766443,0.0,0.0019999999999999996,0,0,0
OF-MPC baseline,tail 50,50,-12.177094401660435,-12.177094401660435,0.0,0.3703931522800118,0.0,0.0025,0,0,0
