event_kind,event_anchor,k,y_sp,dhat_k,us_exact,us_bounded,solve_mode,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_residual_norm,dhat_delta_inf
setpoint_change,400,395,"[2.751989057031519, 0.5060686884724044]","[2.841996973204631, 0.41418728154240897]","[-28.058850652598004, -12.59499537419363]","[-9.999999999999998, -2.1198805672054983]",exact_unbounded_fallback_bounded_ls,5.854691731421724e-18,2.7755575615628914e-17,0.06822079083379823,0.0017128360859610114
setpoint_change,400,396,"[2.751989057031519, 0.5060686884724044]","[2.840346616423345, 0.4158747353183883]","[-27.544232657234833, -12.36411254358688]","[-9.999999999999998, -2.1875041414012446]",exact_unbounded_fallback_bounded_ls,8.673617379884035e-19,2.7755575615628914e-17,0.06627672211667152,0.0016874537759793418
setpoint_change,400,397,"[2.751989057031519, 0.5060686884724044]","[2.838715318480092, 0.41753857296732466]","[-27.035767822150294, -12.135813247858541]","[-9.999999999999998, -2.2541420831133867]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,0.0,0.0643558981490812,0.0016638376489363504
setpoint_change,400,398,"[2.751989057031519, 0.5060686884724044]","[2.8371028920820627, 0.4191776578485474]","[-26.533465357464692, -11.910044659423777]","[-9.999999999999998, -2.3197362223867763]",exact_unbounded_fallback_bounded_ls,1.5178830414797062e-18,5.551115123125783e-17,0.06245835372403287,0.0016390848812227188
setpoint_change,400,399,"[2.751989057031519, 0.5060686884724044]","[2.8355091533475063, 0.42079069451190604]","[-26.03734344395226, -11.686751314134643]","[-9.999999999999998, -2.384220549236374]",exact_unbounded_fallback_bounded_ls,5.9631119486702744e-18,2.7755575615628914e-17,0.06058415752290717,0.001613036663358658
setpoint_change,400,400,"[-2.210727904737378, -3.3325198391259487]","[2.8339339670276735, 0.42237957569207496]","[-1119.3034451104293, -884.4216353535707]","[9.959999999999994, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,1.6653345369377348e-16,0.0,6.122887630853306,0.0015888811801689218
setpoint_change,400,401,"[-2.210727904737378, -3.3325198391259487]","[2.832377151622853, 0.42394469426178466]","[-1118.8193541755597, -884.2033037598313]","[9.959999999999996, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,8.326672684688674e-17,1.7763568394002505e-15,6.12250085789516,0.0015651185697097003
setpoint_change,400,402,"[-2.210727904737378, -3.3325198391259487]","[2.814220271892391, -0.3264419774100797]","[-1152.3028833884857, -866.2478514496261]","[9.959999999888236, -7.499999999996852]",exact_unbounded_fallback_bounded_ls,2.706168622523819e-16,4.440892098500626e-16,5.711927172977906,0.7503866716718643
setpoint_change,400,403,"[-2.210727904737378, -3.3325198391259487]","[2.787467382267137, -1.1817692312981625]","[-1188.8956622815754, -844.8098639329941]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,0.0,3.9968028886505635e-15,5.329305125040277,0.8553272538880827
setpoint_change,400,404,"[-2.210727904737378, -3.3325198391259487]","[2.742702961130336, -1.9958576802288623]","[-1218.7102175897703, -821.3096112409387]","[9.959999999999981, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,3.2612801348363973e-16,2.220446049250313e-16,5.054688794589417,0.8140884489306999
