event_kind,event_anchor,k,y_sp,dhat_k,us_exact,us_bounded,solve_mode,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_residual_norm,dhat_delta_inf
setpoint_change,400,395,"[2.751989057031519, 0.5060686884724044]","[2.662457212745443, 0.6214811812193088]","[29.13308501594838, 12.046902711021724]","[4.873036701032735, 2.7366110889831656]",exact_unbounded_fallback_bounded_ls,2.7755575615628914e-17,2.7755575615628914e-17,0.1314678909086349,9.188944544891164e-05
setpoint_change,400,396,"[2.751989057031519, 0.5060686884724044]","[2.6624221544972193, 0.6215736471598804]","[29.14689931140268, 12.050672250339913]","[4.876419173518422, 2.7363327770264037]",exact_unbounded_fallback_bounded_ls,2.7755575615628914e-17,2.7755575615628914e-17,0.13152379163495906,9.246594057155111e-05
setpoint_change,400,397,"[2.751989057031519, 0.5060686884724044]","[2.6623868342758312, 0.6216662683796774]","[29.16078956464724, 12.05448069633929]","[4.879804434224067, 2.736053557750049]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,8.326672684688674e-17,0.13157992235543647,9.262121979702886e-05
setpoint_change,400,398,"[2.751989057031519, 0.5060686884724044]","[2.6623512490972714, 0.621758762247115]","[29.17474216283075, 12.058334193616103]","[4.883187948459072, 2.7357750134821655]",exact_unbounded_fallback_bounded_ls,2.927345865710862e-18,5.551115123125783e-17,0.13163611968772196,9.249386743759302e-05
setpoint_change,400,399,"[2.751989057031519, 0.5060686884724044]","[2.6623154045536213, 0.6218513957825117]","[29.188769246576015, 12.062226492210138]","[4.886575649370914, 2.735496697867064]",exact_unbounded_fallback_bounded_ls,4.0115480381963664e-18,2.7755575615628914e-17,0.13169253344772883,9.263353539668007e-05
setpoint_change,400,400,"[-2.210727904737378, -3.3325198391259487]","[2.6622793016166746, 0.6219444328804838]","[-1064.5532905188734, -860.8895337450836]","[8.494759709169177, -6.179179503959767]",exact_unbounded_fallback_bounded_ls,4.163336342344337e-16,2.220446049250313e-15,6.129688863488612,9.303709797214843e-05
setpoint_change,400,401,"[-2.210727904737378, -3.3325198391259487]","[2.6622429379841335, 0.6220378981014505]","[-1064.5390862521967, -860.8855748593827]","[8.833675898833793, -7.329235638276489]",exact_unbounded_fallback_bounded_ls,3.552713678800501e-15,8.881784197001252e-16,6.110596592291832,9.346522096664867e-05
setpoint_change,400,402,"[-2.210727904737378, -3.3325198391259487]","[2.6528588670913664, 0.20552810134759625]","[-1083.304766058314, -851.0305472078505]","[8.417697951225755, -7.0981986217555875]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,1.7763568394002505e-15,5.865094746579393,0.41650979675385424
setpoint_change,400,403,"[-2.210727904737378, -3.3325198391259487]","[2.636414331881145, -0.3474197989755863]","[-1107.1820387976315, -837.3078434893139]","[7.842516787395191, -6.603523351626307]",exact_unbounded_fallback_bounded_ls,3.552713678800501e-15,1.7763568394002505e-15,5.5675944063349245,0.5529479003231825
setpoint_change,400,404,"[-2.210727904737378, -3.3325198391259487]","[2.606699251739454, -0.9458183657489605]","[-1129.9257835384972, -820.5454314216142]","[7.210924695779663, -6.006812974081826]",exact_unbounded_fallback_bounded_ls,1.3877787807814457e-17,2.220446049250313e-15,5.278200070538175,0.5983985667733742
setpoint_change,400,405,"[-2.210727904737378, -3.3325198391259487]","[2.5580959085546224, -1.5591573322473355]","[-1148.5234867818917, -800.4538937370718]","[6.55820610957825, -5.358720483669481]",exact_unbounded_fallback_bounded_ls,1.5265566588595902e-16,2.4424906541753444e-15,5.0170748935713405,0.613338966498375
setpoint_change,800,795,"[-2.210727904737378, -3.3325198391259487]","[-2.1241009600903187, -3.2549816710182324]","[-18.55588147521891, -15.449087170030342]","[2.7941888424095382, -2.9683448735662026]",exact_unbounded_fallback_bounded_ls,3.577867169202165e-18,0.0,0.08067664359894658,0.002306879600920464
setpoint_change,800,796,"[-2.210727904737378, -3.3325198391259487]","[-2.1256775250429523, -3.252666641030039]","[-18.028484226796067, -15.242621440469783]","[2.7946079459464443, -2.972109971044359]",exact_unbounded_fallback_bounded_ls,4.228388472693467e-18,5.551115123125783e-17,0.07875498921006255,0.002315029988193551
setpoint_change,800,797,"[-2.210727904737378, -3.3325198391259487]","[-2.127204829772675, -3.2503542777042407]","[-17.514019092193855, -15.044003422169073]","[2.7950902629611862, -2.9758749139706673]",exact_unbounded_fallback_bounded_ls,2.8189256484623115e-18,0.0,0.07693270561415373,0.0023123633257982057
setpoint_change,800,798,"[-2.210727904737378, -3.3325198391259487]","[-2.1286840859449896, -3.248054867191413]","[-17.01269495632922, -14.852832559636225]","[2.795623678031412, -2.9796257296669095]",exact_unbounded_fallback_bounded_ls,5.095750210681871e-18,5.551115123125783e-17,0.07521341635205728,0.00229941051282756
setpoint_change,800,799,"[-2.210727904737378, -3.3325198391259487]","[-2.130116916129128, -3.2457778197112632]","[-16.524569372111785, -14.668659949794884]","[2.7961974946070507, -2.983350126076073]",exact_unbounded_fallback_bounded_ls,8.673617379884035e-19,5.551115123125783e-17,0.07359919926135063,0.0022770474801498963
setpoint_change,800,800,"[2.751989057031519, 0.5060686884724044]","[-2.1315053083969002, -3.243531945834215]","[1077.706600097395, 858.464695805484]","[-0.8079933217521379, 5.927360968688674]",exact_unbounded_fallback_bounded_ls,3.0531133177191805e-16,2.220446049250313e-15,6.064601073819359,0.002245873877048332
setpoint_change,800,801,"[2.751989057031519, 0.5060686884724044]","[-2.1328515615568366, -3.241325396105851]","[1078.168646660072, 858.6363950408277]","[-0.8622110753983501, 6.464745661732028]",exact_unbounded_fallback_bounded_ls,1.0408340855860843e-16,3.552713678800501e-15,6.056167595557071,0.0022065497283638713
setpoint_change,800,802,"[2.751989057031519, 0.5060686884724044]","[-2.1281657001627576, -2.947314821040373]","[1091.9186797515058, 851.9907103615485]","[-0.5842979596382962, 6.461359178991335]",exact_unbounded_fallback_bounded_ls,1.5265566588595902e-16,1.7763568394002505e-15,5.883288894792546,0.294010575065478
setpoint_change,800,803,"[2.751989057031519, 0.5060686884724044]","[-2.1173010592721, -2.4239985220155087]","[1115.736980787144, 839.7570331250621]","[-0.04225330590103504, 6.026001089526039]",exact_unbounded_fallback_bounded_ls,8.326672684688674e-17,4.440892098500626e-16,5.603384511374858,0.5233162990248643
setpoint_change,800,804,"[2.751989057031519, 0.5060686884724044]","[-2.096379620588622, -1.7718685928202003]","[1143.5003738921048, 823.3279275736262]","[0.6513151200880116, 5.336853594179634]",exact_unbounded_fallback_bounded_ls,2.1510571102112408e-16,8.881784197001252e-16,5.2973714440876885,0.6521299291953084
setpoint_change,800,805,"[2.751989057031519, 0.5060686884724044]","[-2.059074289145733, -1.067267312483219]","[1169.678886590027, 803.2189983208]","[1.4100797692345926, 4.527926492969932]",exact_unbounded_fallback_bounded_ls,2.220446049250313e-16,2.6645352591003757e-15,5.021692937873044,0.7046012803369812
setpoint_change,1200,1195,"[2.751989057031519, 0.5060686884724044]","[2.741384854342122, 0.5267593943365151]","[3.807968692746191, 1.286086942420998]","[3.807968692746191, 1.286086942420998]",exact_bounded,3.2526065174565133e-19,0.0,0.0,0.00014732267451644798
setpoint_change,1200,1196,"[2.751989057031519, 0.5060686884724044]","[2.741525528983095, 0.5266135748672769]","[3.7640022721582147, 1.266446485697851]","[3.7640022721582147, 1.266446485697851]",exact_bounded,5.421010862427522e-20,6.938893903907228e-18,0.0,0.00014581946923819533
setpoint_change,1200,1197,"[2.751989057031519, 0.5060686884724044]","[2.7416646729865457, 0.5264692452275755]","[3.7205093094980377, 1.2470216710603164]","[3.7205093094980377, 1.2470216710603164]",exact_bounded,6.938893903907228e-18,1.0408340855860843e-17,0.0,0.00014432963970134605
setpoint_change,1200,1198,"[2.751989057031519, 0.5060686884724044]","[2.7418023034164842, 0.5263263906936847]","[3.6774846224913142, 1.2278100566693821]","[3.6774846224913142, 1.2278100566693821]",exact_bounded,4.472333961502706e-19,3.469446951953614e-18,0.0,0.00014285453389084601
setpoint_change,1200,1199,"[2.751989057031519, 0.5060686884724044]","[2.7419384372503024, 0.5261849995718255]","[3.6349232056108884, 1.208809153837274]","[3.6349232056108884, 1.208809153837274]",exact_bounded,4.2012834183813297e-19,6.938893903907228e-18,0.0,0.00014139112185918012
