case,batch,phase,n_episodes,reward_mean,reward_no_penalty_mean,fallback_penalty_mean,output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate,fallback_count,fallback_verified_count,solver_fail_hold_prev_count
Cold start no gate,bounded_mixed,BC,20,-113.19027046922574,-113.19027046922574,0.0,1.3022960415296387,0.0,0.01975,0,0,0
Cold start no gate,bounded_mixed,handoff,5,-10.242647829164156,-10.242647829164156,0.0,0.32442167575920966,0.0,0.0095,0,0,0
Cold start no gate,bounded_mixed,full TD3,275,-5.066225700682905,-5.066225700682905,0.0,0.1709669568937026,0.0,0.037913636363636365,0,0,0
Cold start no gate,bounded_mixed,tail 50,50,-3.978708635153989,-3.978708635153989,0.0,0.15613125665530864,0.0,0.078875,0,0,0
Cold start no gate,governed_reference,BC,20,-113.19027046922574,-113.19027046922574,0.0,1.3022960415296387,0.0,0.0315625,0,0,0
Cold start no gate,governed_reference,handoff,5,-10.242647829164156,-10.242647829164156,0.0,0.32442167575920966,0.0,0.1165,0,0,0
Cold start no gate,governed_reference,full TD3,275,-5.066225700682905,-5.066225700682905,0.0,0.1709669568937026,0.0,0.051154545454545466,0,0,0
Cold start no gate,governed_reference,tail 50,50,-3.978708635153989,-3.978708635153989,0.0,0.15613125665530864,0.0,0.023450000000000006,0,0,0
Direct LMPC baseline,bounded_mixed,BC,20,-12.42057960899459,-12.42057960899459,0.0,0.37725282881979266,1.0,0.0,0,0,0
Direct LMPC baseline,bounded_mixed,handoff,5,-12.575151225704778,-12.575151225704778,0.0,0.37991883704536217,1.0,0.0,0,0,0
Direct LMPC baseline,bounded_mixed,full TD3,275,-12.492455893815057,-12.492455893815057,0.0,0.3780228026019199,0.9999909090909092,0.0,0,0,0
Direct LMPC baseline,bounded_mixed,tail 50,50,-12.23061965511866,-12.23061965511866,0.0,0.37119854240661915,1.0,0.0,0,0,0
Direct LMPC baseline,governed_reference,BC,20,-12.420576213180027,-12.420576213180027,0.0,0.37725279632354475,1.0,0.0,0,0,0
Direct LMPC baseline,governed_reference,handoff,5,-12.575148066342123,-12.575148066342123,0.0,0.37991880619212576,1.0,0.0,0,0,0
Direct LMPC baseline,governed_reference,full TD3,275,-12.50322735489595,-12.50322735489595,0.0,0.3775601829046405,1.0,0.0,0,0,0
Direct LMPC baseline,governed_reference,tail 50,50,-12.20564878854716,-12.20564878854716,0.0,0.3699486996822556,1.0,0.0,0,0,0
OF-MPC baseline,bounded_mixed,BC,20,-12.419540329245036,-12.419540329245036,0.0,0.3772537654784498,0.0,0.0,0,0,0
OF-MPC baseline,bounded_mixed,handoff,5,-12.574153585631732,-12.57415358563173,0.0,0.3799198231623525,0.0,0.0,0,0,0
OF-MPC baseline,bounded_mixed,full TD3,275,-12.483168593684049,-12.483168593684049,0.0,0.37788976723766443,0.0,0.0,0,0,0
OF-MPC baseline,bounded_mixed,tail 50,50,-12.177094401660435,-12.177094401660435,0.0,0.3703931522800118,0.0,0.0,0,0,0
OF-MPC baseline,governed_reference,BC,20,-12.419540329245036,-12.419540329245036,0.0,0.3772537654784498,0.0,0.0,0,0,0
OF-MPC baseline,governed_reference,handoff,5,-12.574153585631732,-12.57415358563173,0.0,0.3799198231623525,0.0,0.0,0,0,0
OF-MPC baseline,governed_reference,full TD3,275,-12.483168593684049,-12.483168593684049,0.0,0.37788976723766443,0.0,0.0019999999999999996,0,0,0
OF-MPC baseline,governed_reference,tail 50,50,-12.177094401660435,-12.177094401660435,0.0,0.3703931522800118,0.0,0.0025,0,0,0
