case,batch,window,block,n_steps,reward_mean,reward_no_penalty_mean,output0_rmse,output1_rmse,output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate
Cold start + gate,bounded_mixed,tail 50,S2 low,20000,-7.446134008785546,-5.680092005802885,0.12817701514775307,0.2408852767003094,0.18453114592403125,0.04385,0.0
Cold start + gate,governed_reference,all episodes,S1 high,120000,-19.1815168247422,-16.3304659642496,0.1877204630970679,0.7202999335662789,0.4540101983316734,0.043175,0.0
Cold start + gate,governed_reference,all episodes,S2 low,120000,-16.57997013097058,-14.777751706207306,0.18671236814839393,0.6329186995994179,0.4098155338739059,0.03364166666666667,0.0
Cold start + gate,governed_reference,tail 50,S1 high,20000,-6.531165169731361,-4.181999169766523,0.09977099004836641,0.1995522224326631,0.14966160624051475,0.0439,0.0
Cold start + gate,governed_reference,tail 50,S2 low,20000,-6.424710340452405,-5.34078731836318,0.1265980016303389,0.23010284845072035,0.17835042504052961,0.0283,0.0
Cold start no gate,bounded_mixed,all episodes,S1 high,120000,-12.093654069428274,-12.093654069428274,0.1710355838129563,0.5991365098772495,0.38508604684510295,0.0,0.034508333333333335
Cold start no gate,bounded_mixed,all episodes,S2 low,120000,-12.627884038692622,-12.627884038692622,0.1777805560630081,0.5908654234176645,0.3843229897403363,0.0,0.03795
Cold start no gate,bounded_mixed,tail 50,S1 high,20000,-3.1870096862770265,-3.1870096862770265,0.09877896182084546,0.18361120351392157,0.1411950826673835,0.0,0.05955
Cold start no gate,bounded_mixed,tail 50,S2 low,20000,-4.770407584030954,-4.770407584030954,0.1252810671373397,0.21414674175052478,0.16971390444393225,0.0,0.0982
Cold start no gate,governed_reference,all episodes,S1 high,120000,-12.093654069428274,-12.093654069428274,0.1710355838129563,0.5991365098772495,0.38508604684510295,0.0,0.056383333333333334
Cold start no gate,governed_reference,all episodes,S2 low,120000,-12.627884038692622,-12.627884038692622,0.1777805560630081,0.5908654234176645,0.3843229897403363,0.0,0.045491666666666666
Cold start no gate,governed_reference,tail 50,S1 high,20000,-3.1870096862770265,-3.1870096862770265,0.09877896182084546,0.18361120351392157,0.1411950826673835,0.0,0.02255
Cold start no gate,governed_reference,tail 50,S2 low,20000,-4.770407584030954,-4.770407584030954,0.1252810671373397,0.21414674175052478,0.16971390444393225,0.0,0.02435
Direct LMPC baseline,bounded_mixed,all episodes,S1 high,120000,-11.391899310394097,-11.391899310394097,0.18145065691145937,0.5413510179470958,0.3614008374292776,0.0,0.0
Direct LMPC baseline,bounded_mixed,all episodes,S2 low,120000,-13.58618548365628,-13.58618548365628,0.19962135879270185,0.5883318408415721,0.39397659981713695,0.0,0.0
Direct LMPC baseline,bounded_mixed,tail 50,S1 high,20000,-11.07951964460211,-11.07951964460211,0.1797286075879236,0.5271213964633769,0.35342500202565025,0.0,0.0
Direct LMPC baseline,bounded_mixed,tail 50,S2 low,20000,-13.381719665635208,-13.381719665635208,0.19880721291661255,0.577626808321327,0.38821701061896974,0.0,0.0
Direct LMPC baseline,governed_reference,all episodes,S1 high,120000,-11.381522006048955,-11.381522006048955,0.18135328263502443,0.5412254026727111,0.3612893426538678,0.0,0.0
Direct LMPC baseline,governed_reference,all episodes,S2 low,120000,-13.616309908562359,-13.616309908562359,0.20012590937807337,0.5863956068342682,0.3932607581061708,0.0,0.0
