case_name,case_label,solver_success_rate,reward_mean,mean_output_reference_error_inf,fail_steps,fail_clusters,stage_switches,mean_du_s_inf,max_du_s_inf,mean_dx_s_inf,max_dx_s_inf,min_V_k,small_V_success_count,near_zero_margin_success_count
bounded_hard,Bounded hard,0.9675,-7.234872866099668,0.7198040167611461,52,9,14,0.6826833259619435,19.959999999991886,0.2179737497409244,6.174374999989702,2.360003493387155e-06,160,65
bounded_hard_u_prev_0p1,Bounded hard + input anchor,1.0,-3.765129794676925,0.4081284720471687,0,0,7,0.0602119708512107,9.006968443543709,0.01747201222851225,2.1532283935346714,1.2303460139252724e-06,308,47
bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,0.995,-3.7773235628981734,0.4097180245996838,8,6,7,0.1729220071213748,5.18788651040705,0.05889783395669555,1.9805061169866955,2.6995860962274867e-06,279,34
