Qc,Qm,Etha,T
471.6,378.0,3.890013981102934,323.6044884583688
471.6,378.0,3.8900139811604215,323.60448845818723
471.6,378.0,3.890013981212743,323.60448845803245
471.6,378.0,3.890013981260219,323.6044884578999
471.6,378.0,3.890013981303185,323.604488457786
471.6,378.0,3.8900139813419896,323.6044884576876
471.6,378.0,3.890013981376974,323.60448845760214
471.6,378.0,3.890013981408471,323.60448845752757
471.6,378.0,3.890013981436796,323.6044884574622
471.6,378.0,3.890013981462248,323.60448845740456
471.6,378.0,3.890013981485104,323.6044884573535
471.6,378.0,3.890013981505622,323.6044884573081
471.6,378.0,3.890013981524037,323.60448845726745
471.6,378.0,3.890013981540561,323.60448845723107
471.6,378.0,3.890013981555394,323.6044884571982
471.6,378.0,3.890013981568713,323.60448845716843
471.6,378.0,3.8900139815806773,323.6044884571414
471.6,378.0,3.890013981591431,323.6044884571167
471.6,378.0,3.8900139816010997,323.6044884570942
471.6,378.0,3.8900139816098043,323.6044884570735
471.6,378.0,3.8900139816176447,323.60448845705446
471.6,378.0,3.8900139816247155,323.6044884570369
471.6,378.0,3.8900139816310992,323.6044884570207
471.6,378.0,3.890013981636869,323.60448845700574
471.6,378.0,3.8900139816420873,323.6044884569919
471.6,378.0,3.890013981646813,323.6044884569791
471.6,378.0,3.890013981651096,323.6044884569672
471.6,378.0,3.8900139816549855,323.6044884569561
471.6,378.0,3.8900139816585204,323.6044884569458
471.6,378.0,3.89001398166174,323.6044884569361
471.6,378.0,3.8900139816646755,323.60448845692713
471.6,378.0,3.890013981667352,323.6044884569188
471.6,378.0,3.890013981669799,323.60448845691093
471.6,378.0,3.890013981672039,323.60448845690354
471.6,378.0,3.8900139816740897,323.6044884568967
471.6,378.0,3.890013981675972,323.60448845689035
471.6,378.0,3.8900139816777006,323.6044884568843
471.6,378.0,3.89001398167929,323.60448845687876
471.6,378.0,3.890013981680754,323.6044884568735
471.6,378.0,3.890013981682102,323.6044884568686
471.6,338.0,3.8876582753482425,323.56109695936726
471.6,338.0,3.8816680477317247,323.51700196633675
471.6,338.0,3.8733157367826405,323.4731800411503
471.6,338.0,3.863523613594187,323.43034580880874
471.6,338.0,3.8529615634360157,323.3890046035288
471.6,338.0,3.8421148179665416,323.3494967812504
471.6,338.0,3.831331843519322,323.31203447209634
471.6,338.0,3.8208588420263068,323.27673166433715
471.6,338.0,3.8108650394375028,323.24362853404125
