Qc,Qm,Etha,T
471.6,378.0,3.890013981102934,323.6044884583688
471.6,378.0,3.8900139811604215,323.60448845818723
471.6,378.0,3.890013981212743,323.60448845803245
471.6,378.0,3.890013981260219,323.6044884578999
471.6,378.0,3.890013981303185,323.604488457786
471.6,378.0,3.8900139813419896,323.6044884576876
471.6,378.0,3.890013981376974,323.60448845760214
471.6,378.0,3.890013981408471,323.60448845752757
471.6,378.0,3.890013981436796,323.6044884574622
471.6,378.0,3.890013981462248,323.60448845740456
471.6,378.0,3.890013981485104,323.6044884573535
471.6,378.0,3.890013981505622,323.6044884573081
471.6,378.0,3.890013981524037,323.60448845726745
471.6,378.0,3.890013981540561,323.60448845723107
471.6,378.0,3.890013981555394,323.6044884571982
471.6,378.0,3.890013981568713,323.60448845716843
471.6,378.0,3.8900139815806773,323.6044884571414
471.6,378.0,3.890013981591431,323.6044884571167
471.6,378.0,3.8900139816010997,323.6044884570942
471.6,378.0,3.8900139816098043,323.6044884570735
471.6,378.0,3.8900139816176447,323.60448845705446
471.6,378.0,3.8900139816247155,323.6044884570369
471.6,378.0,3.8900139816310992,323.6044884570207
471.6,378.0,3.890013981636869,323.60448845700574
471.6,378.0,3.8900139816420873,323.6044884569919
471.6,378.0,3.890013981646813,323.6044884569791
471.6,378.0,3.890013981651096,323.6044884569672
471.6,378.0,3.8900139816549855,323.6044884569561
471.6,378.0,3.8900139816585204,323.6044884569458
471.6,378.0,3.89001398166174,323.6044884569361
471.6,378.0,3.8900139816646755,323.60448845692713
471.6,378.0,3.890013981667352,323.6044884569188
471.6,378.0,3.890013981669799,323.60448845691093
471.6,378.0,3.890013981672039,323.60448845690354
471.6,378.0,3.8900139816740897,323.6044884568967
471.6,378.0,3.890013981675972,323.60448845689035
471.6,378.0,3.8900139816777006,323.6044884568843
471.6,378.0,3.89001398167929,323.60448845687876
471.6,378.0,3.890013981680754,323.6044884568735
471.6,378.0,3.890013981682102,323.6044884568686
511.6,378.0,3.8900330517142074,323.6012345071657
511.6,378.0,3.8901516388898347,323.5925834926837
511.6,378.0,3.890433597967357,323.57994743267096
511.6,378.0,3.8909133059867314,323.564451101885
511.6,378.0,3.8916039378537626,323.5469864305128
511.6,378.0,3.892503826239971,323.5282567200859
511.6,378.0,3.8936012862294107,323.50881265728015
511.6,378.0,3.8948782290228205,323.48908167059307
511.6,378.0,3.8963128343404576,323.4693918713787
511.6,378.0,3.8978814976036165,323.44999157397245
511.6,378.0,3.899560222605408,323.43106520021695
511.6,378.0,3.901325593030935,323.4127462238391
511.6,378.0,3.9031554262490498,323.39512769026675
511.6,378.0,3.9050291891972644,323.378270750746
511.6,378.0,3.9069282377653063,323.3622115710004
511.6,378.0,3.9088359267976194,323.3469669104315
511.6,378.0,3.9107376267871796,323.33253861516465
511.6,378.0,3.9126206747977017,323.3189172249039
511.6,378.0,3.9144742805559307,323.3060848578606
511.6,378.0,3.9162894035552385,323.29401750858716
511.6,378.0,3.918058613063891,323.28268686927976
511.6,378.0,3.9197759398738907,323.2720617651043
511.6,378.0,3.9214367262591017,323.26210927761747
511.6,378.0,3.9230374787809787,323.2527956167839
511.6,378.0,3.924575727169079,323.24408679093114
511.6,378.0,3.9260498914205897,323.23594911481706
511.6,378.0,3.9274591584380274,323.2283495884649
511.6,378.0,3.928803368901732,323.2212561732581
511.6,378.0,3.930082914610587,323.21463798674836
511.6,378.0,3.9312986461861983,323.20846543350814
511.6,378.0,3.932451790795409,323.2027102860025
511.6,378.0,3.933543879381768,323.19734572671433
511.6,378.0,3.934576682791119,323.1923463605335
511.6,378.0,3.9355521561159974,323.1876882046116
511.6,378.0,3.9364723905569767,323.18334866141834
511.6,378.0,3.9373395720977076,323.1793064795506
511.6,378.0,3.938155946307247,323.17554170588795
511.6,378.0,3.9389237886127715,323.17203563191504
511.6,378.0,3.9396453794238377,323.1687707364124
511.6,378.0,3.940322983532523,323.1657306262184
511.6,378.0,3.9409588332596055,323.16289997636784
511.6,378.0,3.9415551148635717,323.16026447059284
511.6,378.0,3.942113957775223,323.15781074292283
511.6,378.0,3.9426374262650246,323.15552632091715
511.6,378.0,3.943127513192486,323.15339957090845
511.6,378.0,3.9435861355262603,323.15141964551157
511.6,378.0,3.9440151313602096,323.1495764335556
511.6,378.0,3.944416258183894,323.14786051252406
511.6,378.0,3.9447911921966274,323.1462631035305
511.6,378.0,3.9451415284815203,323.1447760288144
511.6,378.0,3.945468781880567,323.1433916717113
511.6,378.0,3.945774388433812,323.1421029390261
511.6,378.0,3.946059707265109,323.1409032257246
511.6,378.0,3.9463260228141803,323.1397863818466
511.6,378.0,3.9465745473297984,323.13874668153517
511.6,378.0,3.9468064235522062,323.13777879407775
511.6,378.0,3.947022727524361,323.1368777568484
511.6,378.0,3.9472244714816758,323.1360389500454
511.6,378.0,3.947412606778607,323.13525807311834
511.6,378.0,3.9475880268178503,323.1345311227819
511.6,378.0,3.9477515699544385,323.1338543725187
511.6,378.0,3.947904022352402,323.1332243534768
511.6,378.0,3.9480461207764432,323.1326378366707
511.6,378.0,3.9481785553049664,323.1320918164026
511.6,378.0,3.948301971954182,323.1315834948219
511.6,378.0,3.9484169752058174,323.13111026754734
511.6,378.0,3.9485241304333147,323.13066971028087
511.6,378.0,3.9486239662233147,323.13025956634493
511.6,378.0,3.948716976590907,323.1298777350818
511.6,378.0,3.9488036230883448,323.1295222610549
511.6,378.0,3.9488843368080553,323.1291913239977
511.6,378.0,3.948959520281603,323.1288832294588
511.6,378.0,3.9490295492769163,323.12859640009435
