mode,controller,reward_mean,mean_rmse,eta_rmse,T_rmse,eta_iae,T_iae,mean_abs_du,solver_success_rate,contraction_satisfied_rate,diagnostic_unsafe_count
disturb,OF-TD3,-3.7841278436623274,0.3594492770918236,0.18011019227155955,0.5387883619120877,113.47605212537674,470.40025991846767,0.6679236620496853,,,
disturb,OF-MPC,-3.773174151477416,0.35693801978575973,0.1800516509069018,0.5338243886646177,112.70026518436758,451.9529561445975,0.6775973171439029,,,
disturb,LMPC-TD3,-6.176795954840879,0.513404448417481,0.22370931117853113,0.8030995856564308,240.84494021321584,948.5802964250076,1.8331784452671642,,,
disturb,Direct LMPC,-3.789466625721908,0.3564539752987755,0.18055850703295376,0.5323494435645972,114.98339441220298,450.3777259716527,0.6933206356368085,1.0,1.0,0.0
nominal,OF-TD3,-3.8511283413601167,0.35624905149106817,0.18233690173261044,0.5301612012495259,109.92767584228488,426.2359790872266,0.6535482036538091,,,
nominal,OF-MPC,-3.7648226597451275,0.35543215153350416,0.17996280109707058,0.5309015019699377,100.99803995749792,399.1360938808047,0.6460897659523879,,,
nominal,LMPC-TD3,-6.093239600852119,0.45139697065180695,0.22883463380039565,0.6739593075032183,222.92870017589792,596.9802073766612,1.6400626326637404,,,
nominal,Direct LMPC,-3.765128579613028,0.35533840072287715,0.17998090694008176,0.5306958945056726,100.94817022282298,398.58053038009973,0.6461691247539624,1.0,1.0,0.0
