method,buffer_size,label_generation_seconds,pretraining_seconds,actor_loss_first,actor_loss_last,actor_reduction_ratio,critic_loss_first,critic_loss_last,critic_reduction_ratio,reward_mean,reward_std
OF-MPC labels,160000,83.87350600003265,3784.4895476000383,0.295845854139328,5.858432685490698e-05,0.0001980231462946809,1183.30355625,867.0155774414062,0.7327076580324494,-592.736083984375,650.0133056640625
LMPC labels,160000,1315.9370604997966,3857.883049499942,0.3050025987148285,0.0007799259159713983,0.0025571123631658427,1175.3340677734375,258.860495703125,0.22024418656860043,-594.8682250976562,652.1575317382812
