label,short_label,episode,reward_no_penalty_mean,output_rmse_mean
direct_lmpc_disturbance,Direct LMPC,84,-12.614526592823292,
direct_lmpc_disturbance,Direct LMPC,85,-12.615293605896875,
direct_lmpc_disturbance,Direct LMPC,86,-12.616063920362002,
direct_lmpc_disturbance,Direct LMPC,87,-12.61683719505404,
direct_lmpc_disturbance,Direct LMPC,88,-12.617613685551843,
direct_lmpc_disturbance,Direct LMPC,89,-12.618393181522247,
direct_lmpc_disturbance,Direct LMPC,90,-12.619175676259278,
direct_lmpc_disturbance,Direct LMPC,91,-12.619961178277816,
direct_lmpc_disturbance,Direct LMPC,92,-12.620749455317217,
direct_lmpc_disturbance,Direct LMPC,93,-12.62154078184798,
direct_lmpc_disturbance,Direct LMPC,94,-12.622334844882952,
direct_lmpc_disturbance,Direct LMPC,95,-12.623131537001203,
direct_lmpc_disturbance,Direct LMPC,96,-12.623930988288548,
direct_lmpc_disturbance,Direct LMPC,97,-12.624733161698725,
direct_lmpc_disturbance,Direct LMPC,98,-12.625537748658315,
direct_lmpc_disturbance,Direct LMPC,99,-12.626344880222405,
direct_lmpc_disturbance,Direct LMPC,100,-12.62715457873973,
direct_lmpc_disturbance,Direct LMPC,101,-12.627966560628888,
direct_lmpc_disturbance,Direct LMPC,102,-12.628780953782062,
direct_lmpc_disturbance,Direct LMPC,103,-12.629597728453232,
direct_lmpc_disturbance,Direct LMPC,104,-12.630416637195758,
direct_lmpc_disturbance,Direct LMPC,105,-12.631237719702543,
direct_lmpc_disturbance,Direct LMPC,106,-12.63206091286937,
direct_lmpc_disturbance,Direct LMPC,107,-12.632886100346736,
direct_lmpc_disturbance,Direct LMPC,108,-12.633713238002816,
direct_lmpc_disturbance,Direct LMPC,109,-12.634659190013686,
direct_lmpc_disturbance,Direct LMPC,110,-12.635085539900958,
direct_lmpc_disturbance,Direct LMPC,111,-12.636206002834944,
direct_lmpc_disturbance,Direct LMPC,112,-12.637040443770406,
direct_lmpc_disturbance,Direct LMPC,113,-12.63787653303084,
direct_lmpc_disturbance,Direct LMPC,114,-12.638714089908134,
direct_lmpc_disturbance,Direct LMPC,115,-12.639553243624553,
direct_lmpc_disturbance,Direct LMPC,116,-12.640393784788577,
direct_lmpc_disturbance,Direct LMPC,117,-12.64123558171528,
direct_lmpc_disturbance,Direct LMPC,118,-12.642078638793503,
direct_lmpc_disturbance,Direct LMPC,119,-12.642922938838185,
direct_lmpc_disturbance,Direct LMPC,120,-12.643768359113016,
direct_lmpc_disturbance,Direct LMPC,121,-12.644614766901796,
direct_lmpc_disturbance,Direct LMPC,122,-12.645462746479382,
direct_lmpc_disturbance,Direct LMPC,123,-12.64631111863112,
direct_lmpc_disturbance,Direct LMPC,124,-12.647160522312497,
direct_lmpc_disturbance,Direct LMPC,125,-12.648010554511998,
direct_lmpc_disturbance,Direct LMPC,126,-12.648861033139536,
direct_lmpc_disturbance,Direct LMPC,127,-12.64971203788012,
direct_lmpc_disturbance,Direct LMPC,128,-12.65056352638224,
direct_lmpc_disturbance,Direct LMPC,129,-12.651415933295253,
direct_lmpc_disturbance,Direct LMPC,130,-12.652267991075009,
direct_lmpc_disturbance,Direct LMPC,131,-12.653120224302256,
direct_lmpc_disturbance,Direct LMPC,132,-12.653972561902808,
direct_lmpc_disturbance,Direct LMPC,133,-12.654824923244387,
direct_lmpc_disturbance,Direct LMPC,134,-12.655677116699293,
direct_lmpc_disturbance,Direct LMPC,135,-12.656529099898258,
direct_lmpc_disturbance,Direct LMPC,136,-12.657380823681924,
direct_lmpc_disturbance,Direct LMPC,137,-12.658232174265915,
direct_lmpc_disturbance,Direct LMPC,138,-12.659083049794846,
direct_lmpc_disturbance,Direct LMPC,139,-12.659933297992668,
direct_lmpc_disturbance,Direct LMPC,140,-12.66078285654239,
direct_lmpc_disturbance,Direct LMPC,141,-12.66163164072838,
direct_lmpc_disturbance,Direct LMPC,142,-12.662479542054308,
direct_lmpc_disturbance,Direct LMPC,143,-12.663326485343546,
direct_lmpc_disturbance,Direct LMPC,144,-12.664172361745896,
direct_lmpc_disturbance,Direct LMPC,145,-12.665017534857116,
direct_lmpc_disturbance,Direct LMPC,146,-12.665860809994374,
direct_lmpc_disturbance,Direct LMPC,147,-12.666702702486978,
direct_lmpc_disturbance,Direct LMPC,148,-12.667543090315768,
direct_lmpc_disturbance,Direct LMPC,149,-12.668381864563251,
direct_lmpc_disturbance,Direct LMPC,150,-12.66921881450572,
direct_lmpc_disturbance,Direct LMPC,151,-12.670373936798896,
direct_lmpc_disturbance,Direct LMPC,152,-12.66410035117954,
direct_lmpc_disturbance,Direct LMPC,153,-12.659801145677347,
direct_lmpc_disturbance,Direct LMPC,154,-12.655507855494577,
direct_lmpc_disturbance,Direct LMPC,155,-12.651220258669786,
