study,label,tail_episodes,last50_episode_rmse_mean,last50_reward_no_penalty_mean,last50_reward_mean,last50_fallback_rate,last50_intervention_rate,last50_diagnostic_unsafe_rate
direct_lmpc,LMPC,50,0.3699486996822555,-4.266507376945404,-4.266507376945404,0.0,1.0,0.0
direct_lmpc,MPC-only,50,0.3703931522800118,-4.250457261095443,-4.250457261095443,0.0,0.0,0.0025
cold_start,RL gate,50,0.20028487795213137,-5.746757651689678,-9.020368654023375,0.056075,0.056075,0.0
cold_start,No-gate diag,50,0.18812928200871618,-4.132480576924541,-4.132480576924541,0.0,0.0,0.16157500000000002
pretrained,RL gate,50,0.19931934203387272,-5.454529621103326,-8.784533198056861,0.06365,0.06365,0.0
pretrained,No-gate diag,50,0.18682368321051268,-3.95322183843953,-3.95322183843953,0.0,0.0,0.14245000000000002
