run_id,rho,rho_label,case_name,case_label,u_s_phys_0_tail_mean,u_s_phys_1_tail_mean,d_s_0_tail_mean,d_s_1_tail_mean,x_s_0_tail_mean,x_s_1_tail_mean,x_s_2_tail_mean,x_s_3_tail_mean,x_s_4_tail_mean,x_s_5_tail_mean,x_s_6_tail_mean
20260501_001425,0.95,0.95,bounded_hard,Bounded hard,618.6252734691781,305.1538323022525,1.0522038157762095,0.799296510596253,0.5211931080987461,0.878705735968136,-0.23475815761969393,-0.759762764660101,0.005510054840338715,0.005510054840338715,0.005510054840338715
20260501_001425,0.95,0.95,bounded_hard_u_prev_0p1,Bounded hard + input anchor,590.7077508374031,494.7880502913228,2.812199795176722,0.8398145733614752,0.4222276714255595,0.7118549171141682,0.3763677401966455,1.218062868272781,0.004463791996694183,0.004463791996694183,0.004463791996694183
20260501_001425,0.95,0.95,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,663.8662223084154,300.063019724155,2.2833929878735284,0.5510139824419075,0.6815687372847146,1.149091094265141,-0.25116409659207845,-0.8128583489707272,0.00720554639258136,0.00720554639258136,0.00720554639258136
20260501_003638,0.98,0.98,bounded_hard,Bounded hard,621.0255780967134,498.6231239039496,2.734909603843091,0.49229656356278106,0.5297020004795597,0.89305130659364,0.3887268641435873,1.2580614875919744,0.005600010871837007,0.005600010871837007,0.005600010871837007
20260501_003638,0.98,0.98,bounded_hard_u_prev_0p1,Bounded hard + input anchor,621.0255781210909,498.623123835596,2.734909603848683,0.49229656360328483,0.5297020005659764,0.8930513067393341,0.3887268639233071,1.2580614868790676,0.0056000108727506034,0.0056000108727506034,0.0056000108727506034
20260501_003638,0.98,0.98,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,621.0255783046649,498.62312392251334,2.734909603833531,0.4922965636161205,0.5297020012167318,0.8930513078364756,0.38872686420341185,1.2580614877855885,0.005600010879630393,0.005600010879630393,0.005600010879630393
20260501_002805,0.985,0.985,bounded_hard,Bounded hard,621.0225949427663,498.62046232458596,2.734909968939284,0.4922969615889567,0.5296914254318766,0.8930334775876286,0.38871828678821635,1.258033728150956,0.005599899072406493,0.005599899072406493,0.005599899072406493
20260501_002805,0.985,0.985,bounded_hard_u_prev_0p1,Bounded hard + input anchor,659.5397646119667,519.4024544255651,2.7314886866138774,0.49375412863447804,0.6662317827553115,1.1232337494387095,0.45569150351988724,1.4747834113916363,0.007043404070997206,0.007043404070997206,0.007043404070997206
20260501_002805,0.985,0.985,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,621.0255782370516,498.6231238890352,2.7349096038392515,0.4922965636121044,0.5297020009770479,0.8930513074323803,0.3887268640955234,1.258061487436422,0.005600010877096453,0.005600010877096453,0.005600010877096453
20260501_001948,0.99,0.99,bounded_hard,Bounded hard,621.0255782151947,498.6231237734127,2.7349096038510736,0.4922965636616996,0.5297020008995671,0.8930513073017514,0.38872686372291204,1.2580614862305164,0.005600010876277325,0.005600010876277325,0.005600010876277325
20260501_001948,0.99,0.99,bounded_hard_u_prev_0p1,Bounded hard + input anchor,621.0255781236207,498.6231239115951,2.734909603841355,0.4922965635671364,0.5297020005749444,0.8930513067544537,0.3887268641682262,1.258061487671715,0.005600010872845413,0.005600010872845413,0.005600010872845413
20260501_001948,0.99,0.99,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,621.0255785710929,498.6231243759386,2.7349096037803946,0.4922965634758148,0.5297020021611981,0.8930513094287988,0.38872686566464565,1.2580614925146725,0.005600010889615292,0.005600010889615292,0.005600010889615292
